voltage [V],current [A],time [s]
-0.0007275343,-0.0003499994,0.0
-0.0007218719,-0.0003476439,0.1410783
-0.0007163286,-0.0003453561,0.2821099
-0.0007103682,-0.000342998,0.423142
-0.0007050335,-0.0003406429,0.5641873
-0.0006996393,-0.0003383537,0.7052276
-0.0006937385,-0.0003359984,0.8462624
-0.0006888211,-0.0003336417,0.9873301
-0.0006824732,-0.0003313553,1.128379
-0.0006768107,-0.000328999,1.269428
-0.0006715357,-0.0003266423,1.410469
-0.0006655753,-0.0003243547,1.551507
-0.0006596744,-0.0003219978,1.692559
-0.0006539524,-0.0003196425,1.833615
-0.0006483495,-0.0003173519,1.974673
-0.0006428063,-0.0003149963,2.115728
-0.0006372333,-0.0003126571,2.256789
-0.0006313026,-0.0003103525,2.397857
-0.0006253123,-0.0003079949,2.538922
-0.0006203353,-0.0003056566,2.679963
-0.0006141961,-0.0003033525,2.821019
-0.0006079376,-0.000300992,2.962052
-0.0006024539,-0.0002986533,3.103095
-0.0005969107,-0.0002963482,3.244142
-0.0005909204,-0.0002939925,3.385188
-0.0005849898,-0.0002916525,3.526228
-0.0005798638,-0.000289348,3.667283
-0.0005736649,-0.0002869912,3.808328
-0.0005687177,-0.0002846525,3.949361
-0.000562191,-0.0002823449,4.090395
-0.0005566478,-0.0002800066,4.231427
-0.0005499721,-0.0002776503,4.372452
-0.0005449653,-0.0002753453,4.513489
-0.0005392134,-0.0002730067,4.654536
-0.0005342066,-0.00027065,4.795599
-0.0005274415,-0.000268345,4.936642
-0.0005218387,-0.0002660058,5.077682
-0.0005169809,-0.0002636502,5.218732
-0.0005117953,-0.0002613445,5.359755
-0.0005058348,-0.0002590062,5.500806
-0.00050053,-0.0002566492,5.641865
-0.0004951358,-0.0002543447,5.782941
-0.0004892051,-0.0002520047,5.924014
-0.0004841387,-0.0002496494,6.065072
-0.0004782379,-0.0002473434,6.206128
-0.0004732609,-0.0002450037,6.347173
-0.0004678965,-0.0002426482,6.488239
-0.0004619658,-0.0002403588,6.629296
-0.0004564524,-0.0002380034,6.77034
-0.0004515052,-0.000235647,6.911379
-0.0004466176,-0.0002333592,7.052442
-0.0004413724,-0.0002309983,7.193473
-0.0004360676,-0.0002286432,7.334514
-0.0004301965,-0.0002263549,7.475556
-0.0004250705,-0.0002239994,7.616607
-0.0004194379,-0.0002216422,7.757646
-0.0004143119,-0.0002193556,7.898691
-0.0004089475,-0.0002169996,8.03973
-0.0004037917,-0.0002146403,8.180791
-0.0003983378,-0.0002123532,8.321845
-0.0003946722,-0.0002099965,8.462888
-0.0003882647,-0.0002076579,8.603924
-0.0003833473,-0.0002053515,8.744966
-0.0003782809,-0.0002029957,8.886033
