critical_current,time_UTC,datetime
4.14461e-05,1688031920.0,2023-06-28 09:42:42.957356
4.129775e-05,1688031920.0,2023-06-28 09:42:43.276093
4.159503e-05,1688031921.0,2023-06-28 09:42:43.597309
4.159562e-05,1688031921.0,2023-06-28 09:42:43.916828
4.114765e-05,1688031921.0,2023-06-28 09:42:44.236749
4.114707e-05,1688031922.0,2023-06-28 09:42:44.557007
4.130008e-05,1688031922.0,2023-06-28 09:42:44.876252
4.114707e-05,1688031922.0,2023-06-28 09:42:45.196867
4.114823e-05,1688031923.0,2023-06-28 09:42:45.515970
4.129543e-05,1688031923.0,2023-06-28 09:42:45.833038
4.129543e-05,1688031923.0,2023-06-28 09:42:46.151899
4.069912e-05,1688031924.0,2023-06-28 09:42:46.496035
4.144668e-05,1688031924.0,2023-06-28 09:42:46.816296
4.144493e-05,1688031924.0,2023-06-28 09:42:47.136167
4.099523e-05,1688031924.0,2023-06-28 09:42:47.455427
4.129717e-05,1688031925.0,2023-06-28 09:42:47.776152
4.114765e-05,1688031925.0,2023-06-28 09:42:48.094559
4.114765e-05,1688031925.0,2023-06-28 09:42:48.413698
4.144551e-05,1688031926.0,2023-06-28 09:42:48.732928
4.129659e-05,1688031926.0,2023-06-28 09:42:49.052281
4.145832e-05,1688031926.0,2023-06-28 09:42:49.371633
4.129834e-05,1688031927.0,2023-06-28 09:42:49.691986
4.09964e-05,1688031927.0,2023-06-28 09:42:50.010953
4.114534e-05,1688031927.0,2023-06-28 09:42:50.330669
4.129659e-05,1688031928.0,2023-06-28 09:42:50.650600
4.114765e-05,1688031928.0,2023-06-28 09:42:50.972256
4.114649e-05,1688031928.0,2023-06-28 09:42:51.292142
4.14461e-05,1688031929.0,2023-06-28 09:42:51.610077
4.114765e-05,1688031929.0,2023-06-28 09:42:51.928933
4.144668e-05,1688031929.0,2023-06-28 09:42:52.249148
4.114765e-05,1688031930.0,2023-06-28 09:42:52.569317
4.144901e-05,1688031930.0,2023-06-28 09:42:52.889960
4.114765e-05,1688031930.0,2023-06-28 09:42:53.210128
4.114592e-05,1688031931.0,2023-06-28 09:42:53.529049
4.115522e-05,1688031931.0,2023-06-28 09:42:53.846269
4.084864e-05,1688031931.0,2023-06-28 09:42:54.165306
4.099756e-05,1688031932.0,2023-06-28 09:42:54.486847
4.144551e-05,1688031932.0,2023-06-28 09:42:54.804749
4.114765e-05,1688031932.0,2023-06-28 09:42:55.122603
4.114592e-05,1688031932.0,2023-06-28 09:42:55.440747
4.129543e-05,1688031933.0,2023-06-28 09:42:55.760808
4.174862e-05,1688031933.0,2023-06-28 09:42:56.079856
4.099756e-05,1688031933.0,2023-06-28 09:42:56.400614
4.129892e-05,1688031934.0,2023-06-28 09:42:56.719310
4.14461e-05,1688031934.0,2023-06-28 09:42:57.038043
4.070261e-05,1688031934.0,2023-06-28 09:42:57.357318
4.129659e-05,1688031935.0,2023-06-28 09:42:57.677953
4.129484e-05,1688031935.0,2023-06-28 09:42:57.995165
4.09964e-05,1688031935.0,2023-06-28 09:42:58.313954
4.099698e-05,1688031936.0,2023-06-28 09:42:58.633487
4.069679e-05,1688031936.0,2023-06-28 09:42:58.953880
4.159678e-05,1688031936.0,2023-06-28 09:42:59.270046
4.114649e-05,1688031937.0,2023-06-28 09:42:59.588454
4.084806e-05,1688031937.0,2023-06-28 09:42:59.906459
4.084689e-05,1688031937.0,2023-06-28 09:43:00.224006
