voltage [V],current [A],time [s]
-0.002729833,-9.999875e-05,0.0
-0.002729058,-9.83325e-05,0.141071
-0.002727896,-9.666313e-05,0.2821329
-0.002726674,-9.499874e-05,0.423164
-0.002725065,-9.333255e-05,0.5642197
-0.002724499,-9.166301e-05,0.7052559
-0.002723068,-8.999885e-05,0.8463001
-0.002721459,-8.833286e-05,0.9873657
-0.002720714,-8.666338e-05,1.128431
-0.0027197,-8.499864e-05,1.269474
-0.002718061,-8.333276e-05,1.410531
-0.002716571,-8.166308e-05,1.551585
-0.002715588,-7.999904e-05,1.692643
-0.002714664,-7.833264e-05,1.833706
-0.002713442,-7.666351e-05,1.974782
-0.002711713,-7.499885e-05,2.115819
-0.002710462,-7.333289e-05,2.256875
-0.002709687,-7.166341e-05,2.397924
-0.002708316,-6.999882e-05,2.538959
-0.002707094,-6.833434e-05,2.680021
-0.00270623,-6.666352e-05,2.821077
-0.002705008,-6.499919e-05,2.962118
-0.002703577,-6.333459e-05,3.10316
-0.002702743,-6.166345e-05,3.244203
-0.002701312,-5.999926e-05,3.385259
-0.002700657,-5.83349e-05,3.526309
-0.002698421,-5.666351e-05,3.667365
-0.002697825,-5.499914e-05,3.808416
-0.002696246,-5.333504e-05,3.94947
-0.002694607,-5.166391e-05,4.090518
-0.002693444,-4.999945e-05,4.231566
-0.002692372,-4.8335e-05,4.372621
-0.002690852,-4.666412e-05,4.513659
-0.002689213,-4.499953e-05,4.654716
-0.002688229,-4.333492e-05,4.795778
-0.002686769,-4.166385e-05,4.936811
-0.002685219,-3.999968e-05,5.077882
-0.00268364,-3.833519e-05,5.218916
-0.002682418,-3.666393e-05,5.35999
-0.002680868,-3.499954e-05,5.501019
-0.002679139,-3.333541e-05,5.642079
-0.002678096,-3.166408e-05,5.78312
-0.002675653,-2.999953e-05,5.924173
-0.002674401,-2.833515e-05,6.065204
-0.002672523,-2.666423e-05,6.206238
-0.002670854,-2.500003e-05,6.34729
-0.002668738,-2.333558e-05,6.488341
-0.002666742,-2.166432e-05,6.629388
-0.002664477,-1.999988e-05,6.770451
-0.002662361,-1.833566e-05,6.911483
-0.002660096,-1.666445e-05,7.052521
-0.002657205,-1.499982e-05,7.193562
