voltage [V],current [A],time [s]
-0.002699167,-5.999897e-05,0.0
-0.002699435,-5.989806e-05,0.1410672
-0.002699137,-5.979871e-05,0.2821056
-0.002699524,-5.969932e-05,0.4231672
-0.002698928,-5.959847e-05,0.5642151
-0.002698839,-5.949913e-05,0.7052566
-0.002699018,-5.939817e-05,0.8463012
-0.002699018,-5.929876e-05,0.9873459
-0.00269857,-5.919959e-05,1.128368
-0.002699107,-5.909859e-05,1.269406
-0.002698958,-5.899936e-05,1.410444
-0.002698511,-5.889828e-05,1.551505
-0.0026986,-5.879891e-05,1.692553
-0.002698213,-5.869813e-05,1.833608
-0.002698064,-5.859892e-05,1.97466
-0.002697945,-5.849944e-05,2.115724
-0.002697885,-5.839847e-05,2.256767
-0.002698153,-5.829931e-05,2.397823
-0.002697796,-5.819823e-05,2.538878
-0.002697945,-5.809897e-05,2.679953
-0.002697557,-5.799797e-05,2.820999
-0.002697498,-5.789891e-05,2.962043
-0.002697647,-5.779955e-05,3.103111
-0.002697885,-5.769843e-05,3.244168
-0.002697259,-5.759898e-05,3.385213
-0.002697736,-5.749792e-05,3.526259
-0.0026972,-5.739863e-05,3.667314
-0.002696931,-5.729953e-05,3.808354
-0.002697557,-5.719853e-05,3.949418
-0.002696812,-5.709908e-05,4.090458
-0.002696782,-5.699828e-05,4.231517
-0.002697021,-5.689895e-05,4.37255
-0.002696574,-5.679792e-05,4.513594
-0.002696842,-5.66985e-05,4.654647
-0.002696991,-5.659953e-05,4.795683
-0.002696574,-5.649844e-05,4.936724
-0.002696753,-5.639919e-05,5.077765
-0.002695858,-5.629814e-05,5.218804
-0.002696097,-5.619887e-05,5.359828
-0.002696782,-5.609961e-05,5.500873
-0.002696574,-5.599865e-05,5.641912
-0.002696335,-5.589932e-05,5.782964
-0.002696186,-5.57982e-05,5.924017
-0.002696604,-5.569895e-05,6.065057
-0.002696544,-5.559799e-05,6.206089
-0.00269556,-5.549873e-05,6.347135
-0.002695292,-5.539935e-05,6.488171
-0.002695084,-5.52985e-05,6.629221
-0.002695322,-5.519936e-05,6.770281
-0.002695262,-5.509835e-05,6.91134
-0.002695292,-5.499888e-05,7.052401
-0.00269556,-5.489808e-05,7.193441
-0.002694905,-5.479874e-05,7.3345
-0.002694994,-5.469941e-05,7.475543
-0.002695292,-5.459838e-05,7.616609
-0.002694637,-5.449921e-05,7.757664
-0.002694726,-5.43983e-05,7.898731
-0.002695054,-5.429897e-05,8.03977
-0.002694041,-5.41997e-05,8.180822
-0.002694756,-5.409855e-05,8.321875
-0.002694458,-5.399936e-05,8.462936
-0.002694875,-5.389833e-05,8.603983
-0.002694696,-5.37993e-05,8.74504
-0.00269416,-5.369818e-05,8.886092
-0.00269419,-5.359901e-05,9.027131
-0.002694279,-5.349974e-05,9.168181
-0.00269419,-5.339876e-05,9.309229
-0.002694726,-5.329926e-05,9.450288
-0.002693743,-5.319825e-05,9.591324
-0.002693832,-5.30992e-05,9.732368
-0.002694041,-5.299975e-05,9.873428
-0.002694011,-5.289883e-05,10.0145
-0.002693713,-5.279956e-05,10.15554
-0.002693892,-5.269871e-05,10.2966
-0.002693236,-5.259932e-05,10.43765
-0.002693295,-5.249823e-05,10.5787
-0.002693266,-5.239902e-05,10.71974
-0.002693802,-5.229974e-05,10.86081
-0.002693504,-5.219871e-05,11.00186
-0.002693236,-5.209964e-05,11.1429
-0.002693683,-5.199849e-05,11.28394
-0.002693146,-5.189911e-05,11.42499
-0.002693057,-5.179823e-05,11.56604
-0.002692699,-5.169914e-05,11.70707
-0.002692908,-5.159958e-05,11.84812
-0.002693027,-5.149857e-05,11.98916
-0.002692193,-5.139949e-05,12.1302
-0.002693027,-5.129841e-05,12.27123
-0.002691448,-5.119912e-05,12.41229
-0.002692223,-5.109984e-05,12.55335
-0.002692223,-5.099911e-05,12.6944
-0.002692491,-5.089962e-05,12.83546
-0.002692401,-5.079847e-05,12.97652
-0.00269264,-5.069918e-05,13.11756
-0.002692163,-5.05981e-05,13.25863
-0.002692103,-5.049883e-05,13.39969
-0.002692461,-5.039966e-05,13.54075
-0.002691895,-5.029869e-05,13.68183
-0.002691776,-5.019922e-05,13.82288
-0.002691984,-5.00984e-05,13.96393
-0.002691895,-4.999923e-05,14.10501
-0.002691418,-4.989973e-05,14.24604
-0.002691269,-4.979871e-05,14.38708
-0.002691269,-4.969959e-05,14.52814
-0.00269106,-4.95987e-05,14.66919
-0.002691418,-4.94993e-05,14.81023
-0.002691776,-4.93983e-05,14.95128
-0.002691209,-4.929928e-05,15.09234
-0.00269106,-4.919982e-05,15.23337
-0.002690613,-4.909886e-05,15.37441
-0.002690732,-4.899935e-05,15.51544
-0.00269115,-4.889845e-05,15.6565
-0.002690941,-4.879911e-05,15.79754
-0.002690852,-4.869814e-05,15.93859
-0.002689689,-4.859896e-05,16.07963
-0.002690166,-4.849951e-05,16.22067
-0.002690166,-4.839868e-05,16.3617
-0.002690285,-4.829941e-05,16.50274
-0.002689749,-4.819849e-05,16.64378
-0.002689838,-4.809898e-05,16.78483
-0.002690554,-4.799994e-05,16.92588
-0.002690166,-4.789895e-05,17.06692
-0.002689987,-4.779955e-05,17.20798
-0.002689898,-4.769856e-05,17.34902
-0.00268957,-4.75993e-05,17.49006
-0.002689362,-4.74985e-05,17.63113
-0.002689451,-4.739908e-05,17.7722
-0.002689362,-4.729984e-05,17.91325
-0.002689332,-4.719885e-05,18.0543
-0.002689272,-4.709954e-05,18.19536
-0.002688438,-4.699854e-05,18.33641
-0.002689481,-4.689938e-05,18.47747
-0.002688318,-4.679841e-05,18.61852
-0.002687901,-4.669915e-05,18.75957
-0.00268805,-4.659992e-05,18.90061
-0.002687573,-4.649902e-05,19.04166
-0.002687633,-4.639945e-05,19.18271
-0.002687633,-4.629849e-05,19.32376
-0.002687812,-4.619933e-05,19.46479
-0.002687752,-4.610003e-05,19.60584
-0.002687007,-4.5999e-05,19.74688
-0.002687335,-4.589978e-05,19.88793
-0.002687573,-4.579894e-05,20.02896
-0.002687395,-4.569953e-05,20.17001
-0.002687007,-4.559841e-05,20.31106
-0.002687663,-4.549905e-05,20.45213
-0.002686679,-4.539992e-05,20.59317
-0.002687097,-4.529888e-05,20.73421
-0.00268662,-4.519973e-05,20.87526
-0.002687037,-4.509874e-05,21.0163
-0.002686948,-4.499931e-05,21.15735
-0.002686381,-4.490021e-05,21.29842
-0.00268659,-4.479924e-05,21.43945
-0.002686858,-4.469979e-05,21.58048
-0.002686203,-4.459875e-05,21.72153
-0.002686501,-4.449965e-05,21.86258
-0.002685487,-4.439871e-05,22.00362
-0.002685934,-4.42993e-05,22.14467
-0.002685815,-4.420005e-05,22.28573
-0.002685815,-4.409923e-05,22.42679
-0.002685994,-4.399987e-05,22.56784
-0.002685249,-4.389856e-05,22.70888
-0.002685845,-4.379927e-05,22.84994
-0.002685666,-4.369851e-05,22.99099
-0.002685875,-4.359901e-05,23.13206
-0.002685338,-4.349981e-05,23.2731
-0.002685457,-4.33988e-05,23.41415
