voltage [V],current [A],time [s]
-0.005304158,-4.999952e-05,0.0
-0.005294323,-4.990005e-05,0.1410802
-0.005283475,-4.9799e-05,0.2821202
-0.005272925,-4.969996e-05,0.4231809
-0.005263329,-4.959901e-05,0.5642396
-0.005251795,-4.949966e-05,0.7052897
-0.005241692,-4.93986e-05,0.8463343
-0.00523141,-4.92996e-05,0.987383
-0.005221158,-4.920016e-05,1.128436
-0.005210429,-4.909918e-05,1.269469
-0.005200207,-4.899975e-05,1.410528
-0.005188853,-4.88988e-05,1.551588
-0.005178452,-4.879947e-05,1.69264
-0.005168706,-4.869852e-05,1.833682
-0.005158514,-4.859935e-05,1.974748
-0.005148619,-4.849985e-05,2.115817
-0.005137563,-4.839902e-05,2.256849
-0.005126148,-4.82998e-05,2.397903
-0.005116522,-4.819884e-05,2.538964
-0.005105644,-4.809933e-05,2.680008
-0.005097181,-4.800029e-05,2.821056
-0.005085647,-4.78993e-05,2.962119
-0.005075544,-4.779993e-05,3.103158
-0.005064815,-4.769891e-05,3.244208
-0.005054146,-4.759962e-05,3.38526
-0.005043447,-4.749883e-05,3.526326
-0.005032897,-4.739944e-05,3.667362
-0.005022645,-4.730019e-05,3.808414
-0.005013376,-4.719924e-05,3.949472
-0.005002737,-4.709992e-05,4.090532
-0.00499317,-4.69989e-05,4.231567
-0.004981011,-4.689979e-05,4.37262
-0.004972011,-4.679878e-05,4.513667
-0.004960775,-4.669951e-05,4.654706
-0.004950285,-4.660025e-05,4.795742
-0.004940897,-4.649938e-05,4.936805
-0.004929274,-4.63998e-05,5.07786
-0.004919708,-4.629882e-05,5.218918
-0.004909575,-4.619973e-05,5.359973
-0.004899025,-4.610035e-05,5.501015
-0.004888505,-4.599936e-05,5.642089
-0.004877537,-4.590009e-05,5.783137
-0.004866302,-4.579927e-05,5.924187
-0.00485757,-4.569987e-05,6.06525
-0.004845768,-4.559876e-05,6.206315
-0.004837424,-4.549946e-05,6.347361
-0.00482592,-4.540026e-05,6.488392
-0.00481534,-4.529924e-05,6.629451
-0.004804492,-4.520005e-05,6.770493
-0.004793584,-4.509906e-05,6.911537
-0.004784346,-4.499967e-05,7.052581
-0.004774213,-4.490056e-05,7.193638
-0.004764467,-4.479961e-05,7.33469
-0.004751533,-4.470014e-05,7.475738
-0.004742026,-4.459907e-05,7.616784
-0.004731834,-4.449993e-05,7.757834
-0.004722118,-4.439901e-05,7.898895
-0.004711032,-4.429962e-05,8.03994
-0.00470072,-4.420038e-05,8.180993
-0.004690737,-4.409949e-05,8.322044
-0.004679531,-4.400015e-05,8.463101
-0.00466907,-4.389891e-05,8.604158
-0.004658848,-4.379956e-05,8.74522
-0.004648358,-4.369882e-05,8.886262
-0.004640162,-4.359931e-05,9.027332
-0.004628271,-4.350014e-05,9.168397
-0.00461778,-4.339909e-05,9.30943
-0.00460732,-4.329973e-05,9.450475
-0.004597247,-4.319887e-05,9.591522
-0.004586428,-4.309964e-05,9.732585
-0.00457564,-4.30003e-05,9.873622
-0.004564077,-4.289915e-05,10.01467
-0.004555017,-4.280008e-05,10.15573
-0.004544199,-4.269906e-05,10.29677
-0.004533499,-4.259979e-05,10.43781
-0.004523575,-4.249871e-05,10.57885
-0.004513353,-4.239968e-05,10.7199
-0.004503578,-4.230039e-05,10.86094
-0.0044927,-4.219933e-05,11.002
-0.004482657,-4.209984e-05,11.14306
