voltage [V],current [A],time [s]
-0.002708256,-9.999792e-06,0.0
-0.002708644,-9.949914e-06,0.1410968
-0.002707869,-9.89989e-06,0.2821394
-0.002707958,-9.849813e-06,0.4231844
-0.002707303,-9.799782e-06,0.5642528
-0.002706856,-9.749934e-06,0.7053269
-0.002706498,-9.69991e-06,0.8463768
-0.00270617,-9.649832e-06,0.987426
-0.002706319,-9.599788e-06,1.128473
-0.002706051,-9.5499e-06,1.269524
-0.002705395,-9.49985e-06,1.410557
-0.002705276,-9.449785e-06,1.551605
-0.002704889,-9.399946e-06,1.692647
-0.002704501,-9.3499e-06,1.83367
-0.002704501,-9.299856e-06,1.974714
-0.002703339,-9.249792e-06,2.11575
-0.002704173,-9.199934e-06,2.2568
-0.002702802,-9.149884e-06,2.397847
-0.002702802,-9.099836e-06,2.538898
-0.002702534,-9.04978e-06,2.679945
-0.002702087,-8.999941e-06,2.820996
-0.002701491,-8.949908e-06,2.962034
-0.002701104,-8.899857e-06,3.103084
-0.002700865,-8.849956e-06,3.244141
-0.002700269,-8.799905e-06,3.385197
-0.002700448,-8.749845e-06,3.526251
-0.002699912,-8.699806e-06,3.667306
-0.002699107,-8.649931e-06,3.808351
-0.002698928,-8.599893e-06,3.949386
-0.002698988,-8.549812e-06,4.090441
-0.002698749,-8.499781e-06,4.231487
-0.002698362,-8.449913e-06,4.372541
-0.002697974,-8.399869e-06,4.51361
-0.002697498,-8.349803e-06,4.654659
-0.002696812,-8.29977e-06,4.795689
-0.002696782,-8.249912e-06,4.936744
-0.002695799,-8.199879e-06,5.077773
-0.002696574,-8.149815e-06,5.218815
-0.002695471,-8.099956e-06,5.359857
-0.002694875,-8.049903e-06,5.500922
-0.002694726,-7.999837e-06,5.641958
-0.002694398,-7.94979e-06,5.783021
-0.002693713,-7.899935e-06,5.924064
-0.002693236,-7.849889e-06,6.065092
-0.002692819,-7.799807e-06,6.206134
-0.002692729,-7.749764e-06,6.347167
-0.00269258,-7.699904e-06,6.488206
-0.002691776,-7.649885e-06,6.629258
-0.002691507,-7.59981e-06,6.77031
-0.002690971,-7.549972e-06,6.911359
-0.002690315,-7.499923e-06,7.05242
-0.002690375,-7.449886e-06,7.19347
-0.002689958,-7.399831e-06,7.334522
-0.0026896,-7.349969e-06,7.475552
-0.002689183,-7.299914e-06,7.616627
-0.002688497,-7.249871e-06,7.757681
-0.002688468,-7.199815e-06,7.898738
-0.002687722,-7.149953e-06,8.039783
-0.002686888,-7.099901e-06,8.180826
-0.002686411,-7.049834e-06,8.321868
-0.002686262,-6.999777e-06,8.462929
-0.002686054,-6.949915e-06,8.603984
-0.00268504,-6.899876e-06,8.745042
-0.002684742,-6.849836e-06,8.886092
-0.002684474,-6.799979e-06,9.027139
-0.002684027,-6.749933e-06,9.168175
-0.002683103,-6.699893e-06,9.309235
-0.002683133,-6.649849e-06,9.4503
-0.002683133,-6.599974e-06,9.591342
-0.002681822,-6.549933e-06,9.732409
-0.002681762,-6.499893e-06,9.873449
-0.002680689,-6.449844e-06,10.01449
-0.00268054,-6.399974e-06,10.15553
-0.002680361,-6.349934e-06,10.29658
-0.002679765,-6.299844e-06,10.43764
-0.002678394,-6.249995e-06,10.5787
-0.002677798,-6.199931e-06,10.71973
-0.002677828,-6.149898e-06,10.86076
-0.002676725,-6.099832e-06,11.00183
-0.002676785,-6.049995e-06,11.14289
-0.002675682,-5.999951e-06,11.28393
-0.002674848,-5.949909e-06,11.42499
-0.002673924,-5.899865e-06,11.56605
-0.002673626,-5.849999e-06,11.7071
-0.002673119,-5.799944e-06,11.84816
-0.002672553,-5.749904e-06,11.98921
-0.002672076,-5.699841e-06,12.13025
-0.002671033,-5.649992e-06,12.27129
-0.00267005,-5.599939e-06,12.41234
-0.002668619,-5.549859e-06,12.55337
-0.002669126,-5.499991e-06,12.69442
-0.002667814,-5.449941e-06,12.83547
-0.002666712,-5.399901e-06,12.97651
-0.002665609,-5.349837e-06,13.11755
-0.002665132,-5.299986e-06,13.25858
-0.002663374,-5.24994e-06,13.39962
-0.002662361,-5.199914e-06,13.54065
-0.002661228,-5.149868e-06,13.6817
-0.002659768,-5.100002e-06,13.82273
-0.002658546,-5.049955e-06,13.96378
-0.002656609,-4.999916e-06,14.10482
-0.002655357,-4.950034e-06,14.24588
-0.002652556,-4.900003e-06,14.38693
-0.002650797,-4.849953e-06,14.52798
-0.002646953,-4.799882e-06,14.66902
-0.00264284,-4.750011e-06,14.81008
-0.002638489,-4.699961e-06,14.95112
-0.002631605,-4.649923e-06,15.09217
-0.002626002,-4.59986e-06,15.23321
-0.002615452,-4.550004e-06,15.37426
-0.002607614,-4.499956e-06,15.51531
-0.002596587,-4.44991e-06,15.65634
-0.002583325,-4.399886e-06,15.79741
-0.002571076,-4.350011e-06,15.93847
-0.002554595,-4.299965e-06,16.07951
-0.002540141,-4.249925e-06,16.22057
-0.00252369,-4.20005e-06,16.36162
-0.002507359,-4.150002e-06,16.50267
-0.002491385,-4.09996e-06,16.64373
-0.002474457,-4.049914e-06,16.78476
-0.002451628,-4.000027e-06,16.92581
-0.002434522,-3.949966e-06,17.06686
-0.002406508,-3.899928e-06,17.20791
-0.002385885,-3.84986e-06,17.34899
-0.002363414,-3.800014e-06,17.49006
-0.002342016,-3.749956e-06,17.6311
-0.002318144,-3.699914e-06,17.77214
-0.002301633,-3.650048e-06,17.91321
-0.002279431,-3.600033e-06,18.05426
-0.002245694,-3.549974e-06,18.19531
-0.00222379,-3.499939e-06,18.33634
-0.002194375,-3.450055e-06,18.4774
-0.002165258,-3.400022e-06,18.61844
-0.002141088,-3.349967e-06,18.75952
-0.002109647,-3.299927e-06,18.90056
-0.0020805,-3.250023e-06,19.04161
-0.002053112,-3.19999e-06,19.18267
-0.002022237,-3.149937e-06,19.32373
-0.001983702,-3.099876e-06,19.46478
-0.001957595,-3.050016e-06,19.60584
-0.001921564,-2.999963e-06,19.74688
-0.001888543,-2.949919e-06,19.88792
-0.001850098,-2.900053e-06,20.02899
-0.001812309,-2.85002e-06,20.17003
-0.001775116,-2.799967e-06,20.31108
-0.001733482,-2.749946e-06,20.45213
-0.001697719,-2.700064e-06,20.59318
-0.001653671,-2.650024e-06,20.73424
-0.001614422,-2.599967e-06,20.87529
-0.001573354,-2.549927e-06,21.01634
-0.001521617,-2.500024e-06,21.15738
-0.001472294,-2.449991e-06,21.29844
-0.001430899,-2.399936e-06,21.43949
-0.001379758,-2.35006e-06,21.58052
-0.001344591,-2.300014e-06,21.72156
-0.0013161,-2.249963e-06,21.8626
-0.00128603,-2.199915e-06,22.00365
-0.001252055,-2.150062e-06,22.14467
-0.001223564,-2.100023e-06,22.28573
-0.001189023,-2.049974e-06,22.42677
-0.001150221,-1.999928e-06,22.56781
-0.00111118,-1.950075e-06,22.70886
-0.001073956,-1.900029e-06,22.84989
-0.001036853,-1.849974e-06,22.99094
-0.0009886622,-1.799923e-06,23.13198
-0.0009373426,-1.750035e-06,23.27302
-0.0008849502,-1.699989e-06,23.41406
-0.0008426905,-1.649938e-06,23.55513
-0.000805974,-1.60007e-06,23.69617
-0.0007687807,-1.550017e-06,23.83721
-0.0007382333,-1.499953e-06,23.97826
-0.0006963611,-1.449911e-06,24.1193
-0.0006613433,-1.400047e-06,24.26036
-0.0006186664,-1.350018e-06,24.40144
-0.0005879104,-1.299959e-06,24.5425
-0.0005516112,-1.249919e-06,24.68354
-0.0005166233,-1.200035e-06,24.82458
-0.0004783869,-1.150014e-06,24.96564
-0.000443399,-1.099956e-06,25.10669
-0.000406146,-1.050097e-06,25.24774
-0.0003708005,-1.000009e-06,25.38879
-0.0003385544,-9.49969e-07,25.52985
-0.0003068745,-8.999177e-07,25.67091
-0.0002749264,-8.500501e-07,25.81194
-0.0002420247,-7.999879e-07,25.953
-0.0002064407,-7.499293e-07,26.09403
-0.0001750886,-6.998835e-07,26.23507
-0.0001494288,-6.49974e-07,26.37613
-0.0001317263,-5.999391e-07,26.51718
6.79493e-06,-5.498932e-07,26.65821
6.496906e-06,-5.000329e-07,26.79926
6.258488e-06,-4.499616e-07,26.9403
6.705523e-06,-3.999194e-07,27.08132
6.79493e-06,-3.49879e-07,27.22238
6.318092e-06,-3.000132e-07,27.36342
6.884336e-06,-2.499364e-07,27.50447
6.735325e-06,-1.998942e-07,27.64551
7.361174e-06,-1.498411e-07,27.78657
6.973743e-06,-9.996074e-08,27.92762
7.033348e-06,-4.989306e-08,28.06867
7.033348e-06,1.564331e-10,28.20969
6.616116e-06,4.995309e-08,28.35104
7.18236e-06,1.000117e-07,28.49211
7.629395e-06,1.498702e-07,28.63317
6.586313e-06,1.99916e-07,28.7742
6.973743e-06,2.499619e-07,28.91525
7.092953e-06,3.000296e-07,29.05627
6.765127e-06,3.498917e-07,29.19731
6.884336e-06,3.999212e-07,29.33834
7.06315e-06,4.499652e-07,29.47938
7.18236e-06,5.000165e-07,29.62042
7.271767e-06,5.498787e-07,29.76146
7.033348e-06,5.999173e-07,29.90251
7.092953e-06,6.499558e-07,30.04354
6.496906e-06,7.000453e-07,30.18458
7.092953e-06,7.49902e-07,30.32562
6.973743e-06,7.999406e-07,30.46667
6.884336e-06,8.500065e-07,30.60772
6.705523e-06,9.000414e-07,30.74878
7.06315e-06,9.499126e-07,30.88981
7.301569e-06,9.999476e-07,31.03086
7.688999e-06,1.050026e-06,31.17192
6.824732e-06,1.100065e-06,31.31297
7.301569e-06,1.150116e-06,31.45405
7.212162e-06,1.199947e-06,31.59512
7.867813e-06,1.250004e-06,31.73616
6.884336e-06,1.300037e-06,31.87719
7.56979e-06,1.35009e-06,32.01825
