voltage [V],current [A],time [s]
-0.002715588,-4.000021e-06,0.0
-0.002715617,-3.974999e-06,0.1410949
-0.002714545,-3.949963e-06,0.2821481
-0.002714157,-3.924946e-06,0.4231871
-0.002714396,-3.899922e-06,0.5642276
-0.002713919,-3.874906e-06,0.7052775
-0.002713472,-3.849857e-06,0.8463309
-0.002713472,-3.825025e-06,0.9873888
-0.002712995,-3.800009e-06,1.128465
-0.002711803,-3.774987e-06,1.269508
-0.002711564,-3.74995e-06,1.410562
-0.002711892,-3.724934e-06,1.551619
-0.002711326,-3.699912e-06,1.692656
-0.002710819,-3.67489e-06,1.833692
-0.002710551,-3.650039e-06,1.97476
-0.002710015,-3.625024e-06,2.11581
-0.002710015,-3.600026e-06,2.256876
-0.002709568,-3.574989e-06,2.397933
-0.002708942,-3.549971e-06,2.538976
-0.002709538,-3.524941e-06,2.680031
-0.002709061,-3.499932e-06,2.82109
-0.002708405,-3.474877e-06,2.962114
-0.002708018,-3.450048e-06,3.103158
-0.002707601,-3.425022e-06,3.244207
-0.002707034,-3.400019e-06,3.385265
-0.002706945,-3.374973e-06,3.526315
-0.00270623,-3.349956e-06,3.667374
-0.00270617,-3.324925e-06,3.808412
-0.002705485,-3.299916e-06,3.949447
-0.002705216,-3.275029e-06,4.090504
-0.002705187,-3.250021e-06,4.231539
-0.002704978,-3.224988e-06,4.372589
-0.002703726,-3.199986e-06,4.513653
-0.002703875,-3.174957e-06,4.654701
-0.002703518,-3.149933e-06,4.795755
-0.0027031,-3.124911e-06,4.93682
-0.002702802,-3.099873e-06,5.077877
-0.002702564,-3.07504e-06,5.218925
-0.002701879,-3.050012e-06,5.359967
-0.00270167,-3.02499e-06,5.500995
-0.002701789,-2.999954e-06,5.642029
-0.002700686,-2.974946e-06,5.783088
-0.002701312,-2.949908e-06,5.924139
-0.002700508,-2.924891e-06,6.065189
-0.002700061,-2.900048e-06,6.206244
-0.002699733,-2.875038e-06,6.347284
-0.002699167,-2.850009e-06,6.488328
-0.002698839,-2.824996e-06,6.629384
-0.002698809,-2.799961e-06,6.770412
-0.002698243,-2.774957e-06,6.911466
-0.002697706,-2.749937e-06,7.052527
-0.002697289,-2.725074e-06,7.193567
-0.00269714,-2.700057e-06,7.33462
-0.00269714,-2.675035e-06,7.475666
-0.002696723,-2.650018e-06,7.616721
-0.002695978,-2.624976e-06,7.757748
-0.002695739,-2.599965e-06,7.898805
-0.002695262,-2.574936e-06,8.039864
-0.002695143,-2.549919e-06,8.180924
-0.002695113,-2.525032e-06,8.321989
-0.002694398,-2.500019e-06,8.463048
-0.002693355,-2.474999e-06,8.604089
-0.002693266,-2.44998e-06,8.745125
-0.002692729,-2.424944e-06,8.886175
-0.002692848,-2.399927e-06,9.027203
-0.002692223,-2.374925e-06,9.168273
-0.002691567,-2.350054e-06,9.309331
-0.002691418,-2.325043e-06,9.450384
-0.002690554,-2.30001e-06,9.591429
-0.002690583,-2.275001e-06,9.732486
-0.002689958,-2.249957e-06,9.873514
-0.00268963,-2.224939e-06,10.01455
-0.002688825,-2.199909e-06,10.15562
-0.002688944,-2.174895e-06,10.29666
-0.002688199,-2.150056e-06,10.43772
-0.00268811,-2.125042e-06,10.57878
-0.002686739,-2.100018e-06,10.71982
-0.002687395,-2.075012e-06,10.86086
-0.002686828,-2.049966e-06,11.00191
-0.002686858,-2.024955e-06,11.14296
-0.002685487,-1.999926e-06,11.28403
-0.002685934,-1.975077e-06,11.42509
-0.002685159,-1.950066e-06,11.56614
-0.002684414,-1.925038e-06,11.7072
-0.002683938,-1.900022e-06,11.84823
-0.002683967,-1.874989e-06,11.98926
-0.002683342,-1.849969e-06,12.13031
-0.002683252,-1.824937e-06,12.27138
-0.002682537,-1.799915e-06,12.41242
-0.002681434,-1.775041e-06,12.55347
-0.002681673,-1.750024e-06,12.69452
-0.002681255,-1.724999e-06,12.83555
-0.002680629,-1.699982e-06,12.97659
-0.002680391,-1.674949e-06,13.11764
-0.002679825,-1.649933e-06,13.25869
-0.002679348,-1.624901e-06,13.39975
-0.00267902,-1.600065e-06,13.5408
-0.002677947,-1.575008e-06,13.68186
-0.002678007,-1.55001e-06,13.82289
-0.002677411,-1.524992e-06,13.96394
-0.002677053,-1.499948e-06,14.10501
-0.002676249,-1.474933e-06,14.24607
-0.002675533,-1.449907e-06,14.38712
-0.002675295,-1.425076e-06,14.52817
-0.002674669,-1.400036e-06,14.66921
-0.002674371,-1.375027e-06,14.81026
-0.002673835,-1.350012e-06,14.95131
-0.002672911,-1.324992e-06,15.09237
-0.002672613,-1.299957e-06,15.23343
-0.002672076,-1.274935e-06,15.37447
-0.002671659,-1.249915e-06,15.51551
-0.002670765,-1.225078e-06,15.65657
-0.002670377,-1.200026e-06,15.79761
-0.002669245,-1.175007e-06,15.93864
-0.002669156,-1.150011e-06,16.07969
-0.002668977,-1.124967e-06,16.22074
-0.002668142,-1.099952e-06,16.3618
-0.00266701,-1.074921e-06,16.50285
-0.002666593,-1.050095e-06,16.64389
-0.002665967,-1.025019e-06,16.78491
-0.002665371,-1.000011e-06,16.92596
-0.002664179,-9.749838e-07,17.06702
-0.002663583,-9.499709e-07,17.20807
-0.002663225,-9.249361e-07,17.34911
-0.002662569,-8.999195e-07,17.49016
-0.002661616,-8.748866e-07,17.6312
-0.002660871,-8.500501e-07,17.77225
-0.002660394,-8.24999e-07,17.91331
-0.0026595,-7.999824e-07,18.05434
-0.002658665,-7.749532e-07,18.1954
-0.002657056,-7.499311e-07,18.33645
-0.002656311,-7.2492e-07,18.47748
-0.002655238,-6.998835e-07,18.61853
-0.002654642,-6.750488e-07,18.7596
-0.00265336,-6.49974e-07,18.90064
-0.002651781,-6.249684e-07,19.04169
-0.002649903,-5.999427e-07,19.18275
-0.00264895,-5.749207e-07,19.32381
-0.00264746,-5.498896e-07,19.46483
-0.002645493,-5.248767e-07,19.60588
-0.002642751,-5.000275e-07,19.74694
-0.002641052,-4.750054e-07,19.88798
-0.002637148,-4.499652e-07,20.02903
-0.002633065,-4.249487e-07,20.17009
-0.002628148,-3.999176e-07,20.31113
-0.002619088,-3.748937e-07,20.45218
-0.002604783,-3.498826e-07,20.59323
-0.002578408,-3.248442e-07,20.73427
-0.00253135,-3.00015e-07,20.87533
-0.002426386,-2.749384e-07,21.01636
-0.002142102,-2.499346e-07,21.15742
-0.0008257031,-2.249108e-07,21.29846
-0.0004350841,-1.99896e-07,21.43952
7.271767e-06,-1.74854e-07,21.58059
7.152557e-06,-1.498374e-07,21.72165
6.705523e-06,-1.2499e-07,21.86268
7.18236e-06,-9.996256e-08,22.00375
6.79493e-06,-7.491326e-08,22.14479
6.645918e-06,-4.988942e-08,22.28583
7.122755e-06,-2.48765e-08,22.4269
7.241964e-06,1.582521e-10,22.56797
7.06315e-06,2.492379e-08,22.70935
6.973743e-06,4.995309e-08,22.85037
6.973743e-06,7.496237e-08,22.99143
7.18236e-06,1.000153e-07,23.13249
7.271767e-06,1.248445e-07,23.27355
7.361174e-06,1.498775e-07,23.41461
7.033348e-06,1.748867e-07,23.55568
7.629395e-06,1.999197e-07,23.69673
7.390976e-06,2.249326e-07,23.83778
7.331371e-06,2.499619e-07,23.97884
7.271767e-06,2.749621e-07,24.11991
7.420778e-06,3.00035e-07,24.26096
7.420778e-06,3.248624e-07,24.40203
6.973743e-06,3.498953e-07,24.54305
7.18236e-06,3.749064e-07,24.68411
6.884336e-06,3.99923e-07,24.82515
7.122755e-06,4.24945e-07,24.96619
7.510185e-06,4.499616e-07,25.10725
7.718801e-06,4.750018e-07,25.24831
6.586313e-06,5.000184e-07,25.38935
7.06315e-06,5.248603e-07,25.5304
7.271767e-06,5.49875e-07,25.67147
6.973743e-06,5.74908e-07,25.81249
7.06315e-06,5.999173e-07,25.95355
7.480383e-06,6.249429e-07,26.09462
7.18236e-06,6.499577e-07,26.23567
7.003546e-06,6.750233e-07,26.37672
7.301569e-06,7.000399e-07,26.51779
7.301569e-06,7.25071e-07,26.65885
6.765127e-06,7.49902e-07,26.79988
7.033348e-06,7.749168e-07,26.94095
7.301569e-06,7.999406e-07,27.08201
7.361174e-06,8.249554e-07,27.22308
7.420778e-06,8.500083e-07,27.36414
6.79493e-06,8.750139e-07,27.50517
7.06315e-06,9.000414e-07,27.64622
7.420778e-06,9.25058e-07,27.78728
7.212162e-06,9.49909e-07,27.92834
7.331371e-06,9.749256e-07,28.0694
7.450581e-06,9.999439e-07,28.21047
6.914139e-06,1.024962e-06,28.3515
7.033348e-06,1.050028e-06,28.49255
7.331371e-06,1.075039e-06,28.63361
6.824732e-06,1.100059e-06,28.77465
7.18236e-06,1.12508e-06,28.9157
7.301569e-06,1.150116e-06,29.05676
7.361174e-06,1.174954e-06,29.19783
7.271767e-06,1.199944e-06,29.33888
7.510185e-06,1.224995e-06,29.47993
7.95722e-06,1.250002e-06,29.62101
7.420778e-06,1.275039e-06,29.76205
7.361174e-06,1.300037e-06,29.90313
7.033348e-06,1.325079e-06,30.04419
7.420778e-06,1.350088e-06,30.18525
6.943941e-06,1.374936e-06,30.32629
7.122755e-06,1.399938e-06,30.46735
8.046627e-06,1.424971e-06,30.6084
7.748604e-06,1.44998e-06,30.74946
6.884336e-06,1.475015e-06,30.89049
7.480383e-06,1.500015e-06,31.03154
6.824732e-06,1.525055e-06,31.17259
7.688999e-06,1.550074e-06,31.31365
7.629395e-06,1.574916e-06,31.4547
7.599592e-06,1.599939e-06,31.59577
7.271767e-06,1.624951e-06,31.73681
7.033348e-06,1.649976e-06,31.87787
7.361174e-06,1.674995e-06,32.01893
7.778406e-06,1.700017e-06,32.15998
7.301569e-06,1.725033e-06,32.30104
6.973743e-06,1.750057e-06,32.44207
7.271767e-06,1.775075e-06,32.58313
7.06315e-06,1.799957e-06,32.72418
7.033348e-06,1.82497e-06,32.86525
7.122755e-06,1.849992e-06,33.0063
7.718801e-06,1.875014e-06,33.14736
7.212162e-06,1.90004e-06,33.28843
7.56979e-06,1.925058e-06,33.4295
7.361174e-06,1.95008e-06,33.57056
6.943941e-06,1.975106e-06,33.7116
7.688999e-06,1.999933e-06,33.85264
7.480383e-06,2.024959e-06,33.99369
7.688999e-06,2.049963e-06,34.13476
7.06315e-06,2.075005e-06,34.27581
7.659197e-06,2.100009e-06,34.41687
7.033348e-06,2.125034e-06,34.55793
7.450581e-06,2.150051e-06,34.69898
7.510185e-06,2.175073e-06,34.84003
8.106232e-06,2.200079e-06,34.98109
7.450581e-06,2.224924e-06,35.12215
7.539988e-06,2.249939e-06,35.26322
7.06315e-06,2.274975e-06,35.40428
7.18236e-06,2.299987e-06,35.54534
7.748604e-06,2.325005e-06,35.68641
7.033348e-06,2.350032e-06,35.82748
7.778406e-06,2.375074e-06,35.96852
7.599592e-06,2.400086e-06,36.1096
7.033348e-06,2.424898e-06,36.25065
7.301569e-06,2.44994e-06,36.39172
7.361174e-06,2.474948e-06,36.53277
7.152557e-06,2.499972e-06,36.67382
7.629395e-06,2.524977e-06,36.81487
7.867813e-06,2.550049e-06,36.95592
7.18236e-06,2.575061e-06,37.09699
7.867813e-06,2.600093e-06,37.23803
7.629395e-06,2.624922e-06,37.3791
7.480383e-06,2.649957e-06,37.52013
7.420778e-06,2.674969e-06,37.66119
6.943941e-06,2.699997e-06,37.80223
7.599592e-06,2.725008e-06,37.94327
7.539988e-06,2.750059e-06,38.08433
7.301569e-06,2.775076e-06,38.22539
7.56979e-06,2.800081e-06,38.36645
7.838011e-06,2.825111e-06,38.5075
0.002714008,2.849922e-06,38.64856
0.002714932,2.874947e-06,38.78961
0.002715111,2.899969e-06,38.93065
0.00271517,2.924982e-06,39.0717
0.002715766,2.949997e-06,39.21277
0.002716273,2.975021e-06,39.35382
0.002716631,3.000046e-06,39.49489
0.002716631,3.025063e-06,39.63593
0.002717555,3.049896e-06,39.77698
0.002717584,3.074918e-06,39.91801
0.002717882,3.099947e-06,40.05905
0.002718925,3.124978e-06,40.2001
0.002718866,3.15e-06,40.34118
