voltage [V],current [A],time [s]
-0.005151987,-6.999884e-05,0.0
-0.005144715,-6.989809e-05,0.1410728
-0.005137235,-6.979873e-05,0.2821362
-0.005130708,-6.96994e-05,0.423206
-0.005123794,-6.959832e-05,0.5642571
-0.005116671,-6.949904e-05,0.705288
-0.005109608,-6.939791e-05,0.8463326
-0.005101919,-6.929875e-05,0.987378
-0.005095065,-6.919776e-05,1.128417
-0.005088478,-6.909855e-05,1.269466
-0.005081683,-6.899945e-05,1.41052
-0.005073965,-6.889849e-05,1.551565
-0.00506714,-6.879895e-05,1.692607
-0.005060345,-6.86979e-05,1.833648
-0.005053699,-6.859869e-05,1.974695
-0.005046099,-6.84995e-05,2.11575
-0.005039483,-6.83984e-05,2.256792
-0.005032122,-6.829924e-05,2.397835
-0.005025119,-6.819839e-05,2.538897
-0.005018085,-6.809903e-05,2.679935
-0.005010873,-6.799793e-05,2.820971
-0.005004257,-6.78986e-05,2.962023
-0.004997134,-6.779947e-05,3.103091
-0.004989952,-6.769839e-05,3.244132
-0.004982978,-6.759938e-05,3.385197
-0.004976034,-6.749827e-05,3.526248
-0.00496909,-6.739894e-05,3.667295
-0.004962176,-6.72997e-05,3.808341
-0.004954934,-6.719871e-05,3.949395
-0.004947752,-6.709935e-05,4.090446
-0.004940301,-6.699827e-05,4.23151
-0.004933894,-6.689923e-05,4.372571
-0.004927367,-6.679824e-05,4.513616
-0.004920125,-6.669888e-05,4.654665
-0.004912615,-6.659949e-05,4.795706
-0.00490573,-6.64987e-05,4.936752
-0.004898399,-6.63994e-05,5.077815
-0.004891157,-6.629829e-05,5.218877
-0.004884481,-6.619908e-05,5.359916
-0.004877687,-6.609826e-05,5.500958
-0.004870832,-6.599876e-05,5.642015
-0.00486356,-6.589951e-05,5.783056
-0.004856259,-6.579843e-05,5.924091
-0.004849643,-6.569916e-05,6.065144
-0.004842609,-6.559823e-05,6.206205
-0.004835427,-6.549913e-05,6.347245
-0.004828334,-6.539962e-05,6.488295
-0.00482145,-6.529861e-05,6.629343
-0.004814267,-6.519942e-05,6.770384
-0.004807055,-6.50984e-05,6.911425
-0.00480029,-6.499921e-05,7.052481
-0.004793108,-6.489811e-05,7.193532
-0.004786372,-6.479918e-05,7.334596
-0.004779249,-6.469974e-05,7.475641
-0.004771948,-6.459892e-05,7.616689
-0.004765391,-6.449907e-05,7.757729
-0.004757881,-6.439802e-05,7.898785
-0.00475055,-6.429889e-05,8.039819
-0.004743814,-6.419962e-05,8.180876
-0.004737049,-6.409865e-05,8.321939
-0.004729897,-6.399921e-05,8.462965
-0.004723161,-6.389839e-05,8.604003
-0.004715055,-6.379912e-05,8.745049
-0.004708916,-6.369807e-05,8.886105
-0.004701793,-6.359871e-05,9.027132
-0.004694283,-6.349964e-05,9.168188
-0.004687309,-6.339869e-05,9.309243
-0.004680365,-6.329945e-05,9.450294
-0.004673928,-6.31983e-05,9.591342
-0.00466603,-6.309897e-05,9.732381
-0.004659116,-6.299809e-05,9.873448
-0.004652858,-6.289888e-05,10.0145
-0.004644871,-6.27994e-05,10.15554
-0.004637808,-6.26984e-05,10.29661
-0.00463143,-6.259918e-05,10.43769
-0.004624248,-6.249815e-05,10.57874
-0.004617125,-6.239887e-05,10.71978
-0.004609704,-6.229947e-05,10.86082
-0.004602998,-6.219871e-05,11.00185
-0.004595965,-6.209947e-05,11.14288
-0.004588485,-6.199858e-05,11.28394
-0.004582554,-6.18991e-05,11.42499
-0.004574865,-6.179807e-05,11.56604
-0.004568487,-6.16989e-05,11.70707
-0.004560918,-6.159952e-05,11.84813
-0.004554182,-6.149861e-05,11.98918
-0.00454703,-6.139933e-05,12.13023
-0.004539371,-6.129856e-05,12.27128
-0.004532784,-6.11992e-05,12.41233
-0.004525602,-6.109987e-05,12.55338
-0.004518688,-6.099876e-05,12.69442
-0.004511267,-6.089952e-05,12.83547
-0.004503936,-6.079863e-05,12.97652
-0.00449723,-6.069946e-05,13.11756
-0.004489988,-6.059847e-05,13.25862
-0.004483134,-6.049925e-05,13.39969
-0.004475713,-6.039989e-05,13.54073
-0.004468769,-6.02989e-05,13.6818
-0.004461586,-6.019943e-05,13.82284
-0.004454315,-6.009851e-05,13.9639
-0.004447401,-5.999931e-05,14.10495
-0.004440784,-5.989845e-05,14.246
-0.004433066,-5.979906e-05,14.38706
-0.004426211,-5.969968e-05,14.52812
