voltage [V],current [A],time [s]
2.205372e-06,-0.0009999818,0.0
3.665686e-06,-0.0009833374,0.1410673
3.606081e-06,-0.0009666428,0.2821127
3.814697e-06,-0.0009499851,0.4231629
3.427267e-06,-0.0009333368,0.5642047
3.33786e-06,-0.0009166412,0.7052624
3.576279e-06,-0.0008999819,0.846311
4.440546e-06,-0.0008833392,0.9873829
3.963709e-06,-0.0008666443,1.128434
3.457069e-06,-0.0008499804,1.269494
3.635883e-06,-0.0008333379,1.410544
3.486872e-06,-0.0008166411,1.551581
4.291534e-06,-0.0007999814,1.692635
3.427267e-06,-0.0007833357,1.833688
3.814697e-06,-0.0007666445,1.974712
3.874302e-06,-0.0007499829,2.115749
3.814697e-06,-0.0007333378,2.256794
4.023314e-06,-0.0007166429,2.397835
3.427267e-06,-0.0006999797,2.538871
4.202127e-06,-0.0006833361,2.679918
4.053116e-06,-0.000666643,2.820974
3.486872e-06,-0.0006499998,2.962019
3.814697e-06,-0.0006333366,3.103065
4.380941e-06,-0.0006166419,3.244131
4.470348e-06,-0.0006000001,3.385186
4.529953e-06,-0.0005833397,3.526243
4.291534e-06,-0.0005666418,3.667295
4.768372e-06,-0.0005499979,3.808358
3.904104e-06,-0.0005333389,3.9494
4.23193e-06,-0.0005166454,4.09045
4.708767e-06,-0.0005000003,4.231519
5.00679e-06,-0.0004833399,4.372579
4.351139e-06,-0.0004666469,4.51366
4.351139e-06,-0.0004500006,4.654716
4.440546e-06,-0.0004333374,4.795771
4.291534e-06,-0.0004166435,4.936825
4.708767e-06,-0.0004000016,5.077866
4.708767e-06,-0.0003833398,5.218916
4.291534e-06,-0.0003666438,5.359966
5.036592e-06,-0.0003499999,5.501019
4.380941e-06,-0.0003333581,5.64206
5.125999e-06,-0.0003166448,5.783116
4.470348e-06,-0.0002999988,5.924161
4.798174e-06,-0.0002833544,6.065211
5.215406e-06,-0.0002666451,6.206258
4.947186e-06,-0.0002500031,6.347305
5.036592e-06,-0.0002333589,6.488356
