voltage [V],current [A],time [s]
-0.002795011,-9.999767e-06,0.0
-0.002794325,-9.949892e-06,0.1410754
-0.002794147,-9.89987e-06,0.2821186
-0.00279361,-9.849789e-06,0.4231664
-0.002792686,-9.799767e-06,0.5642061
-0.002791882,-9.749918e-06,0.7052511
-0.002791524,-9.699892e-06,0.8463187
-0.002790779,-9.649812e-06,0.9873629
-0.002789944,-9.599769e-06,1.128396
-0.002789319,-9.549878e-06,1.269458
-0.002788842,-9.499836e-06,1.41051
-0.002788097,-9.449768e-06,1.551571
-0.002787769,-9.399928e-06,1.692615
-0.002787292,-9.349886e-06,1.833658
-0.002786607,-9.299843e-06,1.974686
-0.002785265,-9.24977e-06,2.115741
-0.002784908,-9.19991e-06,2.256792
-0.002784669,-9.149862e-06,2.397858
-0.002783597,-9.09982e-06,2.538907
-0.002783418,-9.049762e-06,2.679945
-0.002781987,-8.999918e-06,2.820982
-0.002782226,-8.949894e-06,2.962045
-0.002781391,-8.899835e-06,3.10309
-0.002780616,-8.849942e-06,3.244147
-0.00278011,-8.799887e-06,3.385209
-0.002779245,-8.749828e-06,3.52625
-0.002778977,-8.699782e-06,3.667307
-0.002778023,-8.649917e-06,3.808351
-0.002777547,-8.599871e-06,3.949385
-0.002776772,-8.549796e-06,4.090437
-0.002776414,-8.499765e-06,4.231491
-0.002775759,-8.449901e-06,4.372531
-0.002775252,-8.399858e-06,4.513579
-0.002774715,-8.349793e-06,4.654609
-0.002773702,-8.299761e-06,4.795674
-0.002773821,-8.249899e-06,4.936727
-0.002772838,-8.199868e-06,5.077781
-0.002772212,-8.149802e-06,5.21883
-0.00277102,-8.09994e-06,5.359895
-0.002770603,-8.049888e-06,5.500942
-0.002769798,-7.999821e-06,5.642007
-0.002769202,-7.949771e-06,5.783047
-0.002768517,-7.899916e-06,5.924085
-0.002767891,-7.849871e-06,6.065157
-0.002767801,-7.799792e-06,6.206209
-0.002767414,-7.749744e-06,6.34726
-0.002766103,-7.699886e-06,6.488313
-0.002765566,-7.649865e-06,6.629355
-0.002765149,-7.599794e-06,6.770373
-0.002764344,-7.549956e-06,6.911437
-0.00276354,-7.499908e-06,7.052477
-0.002762794,-7.449878e-06,7.193518
-0.002762556,-7.399814e-06,7.334569
-0.0027619,-7.349947e-06,7.475631
-0.002761424,-7.299899e-06,7.616674
-0.002760798,-7.249857e-06,7.757728
-0.002759963,-7.199795e-06,7.89877
-0.002759486,-7.14994e-06,8.039801
-0.00275892,-7.099889e-06,8.180864
-0.002758473,-7.049819e-06,8.321917
-0.002756596,-6.999766e-06,8.462969
-0.002756894,-6.9499e-06,8.604011
-0.002756417,-6.899858e-06,8.745046
-0.002755642,-6.849823e-06,8.88611
-0.002755642,-6.799968e-06,9.02717
-0.002754182,-6.749924e-06,9.168215
-0.002753615,-6.699875e-06,9.309254
-0.002753705,-6.649832e-06,9.450299
-0.002752632,-6.599957e-06,9.591361
-0.002752304,-6.549921e-06,9.732408
-0.002750993,-6.49988e-06,9.873468
-0.002750546,-6.449829e-06,10.01453
-0.002749979,-6.399963e-06,10.15556
-0.002748877,-6.349923e-06,10.29662
-0.002748519,-6.299832e-06,10.43766
-0.00274843,-6.249984e-06,10.57872
-0.002747655,-6.199916e-06,10.71976
-0.00274691,-6.149887e-06,10.86081
-0.002746344,-6.099815e-06,11.00186
-0.002745956,-6.049981e-06,11.14291
-0.002745092,-5.999942e-06,11.28395
-0.002744645,-5.949902e-06,11.42501
-0.002744585,-5.899854e-06,11.56606
-0.002743304,-5.849986e-06,11.70711
-0.002742589,-5.799935e-06,11.84817
-0.002741516,-5.749898e-06,11.98922
-0.002741337,-5.699832e-06,12.13026
-0.002740175,-5.64999e-06,12.2713
-0.002739996,-5.599937e-06,12.41235
-0.002739549,-5.549851e-06,12.5534
