voltage [V],current [A],time [s]
-0.004960358,-6.999873e-05,0.0
-0.004953504,-6.989788e-05,0.1410709
-0.004947007,-6.979858e-05,0.2821122
-0.004940242,-6.969928e-05,0.4231839
-0.004933745,-6.95982e-05,0.5642176
-0.004926443,-6.94989e-05,0.7052699
-0.004919559,-6.939776e-05,0.8463261
-0.004913181,-6.929864e-05,0.9874085
-0.00490573,-6.919759e-05,1.128446
-0.004899323,-6.909843e-05,1.269497
-0.004893154,-6.899933e-05,1.410534
-0.004886001,-6.889837e-05,1.551588
-0.004879057,-6.879884e-05,1.692632
-0.004872948,-6.869773e-05,1.833685
-0.00486511,-6.85986e-05,1.974757
-0.004858047,-6.849936e-05,2.115802
-0.004851341,-6.839828e-05,2.256846
-0.004844427,-6.829912e-05,2.397891
-0.004838109,-6.819825e-05,2.538924
-0.004830867,-6.809892e-05,2.679967
-0.0048244,-6.799778e-05,2.821018
-0.004817873,-6.789842e-05,2.96207
-0.004810721,-6.779935e-05,3.103124
-0.004803628,-6.769825e-05,3.244167
-0.004797339,-6.759932e-05,3.385224
-0.004790306,-6.749813e-05,3.526271
-0.00478363,-6.73988e-05,3.667308
-0.004776597,-6.729955e-05,3.808365
-0.004769564,-6.719859e-05,3.949425
-0.004762828,-6.709923e-05,4.090464
-0.0047566,-6.699815e-05,4.231503
-0.004749388,-6.689914e-05,4.372567
-0.004742175,-6.679812e-05,4.513627
-0.004735589,-6.669876e-05,4.654656
-0.004729092,-6.659934e-05,4.795692
-0.004722506,-6.649853e-05,4.936773
-0.004715204,-6.639928e-05,5.07781
-0.004708201,-6.629815e-05,5.218843
-0.004701704,-6.619893e-05,5.359875
-0.004694551,-6.609812e-05,5.500933
-0.004688352,-6.599867e-05,5.64197
-0.004680574,-6.589937e-05,5.783005
-0.004674315,-6.579829e-05,5.924062
-0.00466767,-6.569902e-05,6.065125
-0.004660785,-6.559811e-05,6.206163
-0.004653871,-6.549904e-05,6.347205
-0.004647195,-6.539957e-05,6.488252
-0.00464046,-6.529849e-05,6.629316
-0.004633456,-6.519927e-05,6.770358
-0.004627019,-6.509828e-05,6.911406
-0.004619807,-6.499913e-05,7.052473
-0.004613072,-6.489799e-05,7.193529
-0.004605949,-6.47991e-05,7.334575
-0.004598945,-6.469962e-05,7.475611
-0.004592478,-6.459877e-05,7.616663
-0.004585266,-6.449898e-05,7.757717
-0.004578173,-6.439793e-05,7.898757
-0.004571706,-6.429874e-05,8.039803
-0.004565001,-6.419953e-05,8.180882
-0.004558325,-6.40986e-05,8.321928
-0.004551172,-6.399918e-05,8.462978
-0.004543841,-6.38983e-05,8.604028
-0.004537791,-6.3799e-05,8.745095
-0.004530579,-6.369798e-05,8.886136
-0.004524201,-6.359865e-05,9.027183
-0.0045169,-6.349958e-05,9.168248
-0.004510105,-6.339861e-05,9.309279
-0.004503101,-6.329936e-05,9.450327
-0.004496247,-6.319821e-05,9.59136
-0.004489541,-6.309888e-05,9.732427
-0.004482388,-6.299802e-05,9.873464
-0.004476041,-6.289882e-05,10.01451
-0.004469275,-6.279933e-05,10.15555
-0.004462302,-6.269831e-05,10.29662
-0.00445509,-6.259905e-05,10.43765
-0.004447967,-6.249806e-05,10.5787
-0.004441917,-6.239877e-05,10.71974
-0.004435241,-6.229937e-05,10.86081
-0.004428476,-6.219864e-05,11.00186
-0.004421115,-6.209938e-05,11.14291
-0.00441429,-6.199851e-05,11.28399
-0.004407853,-6.189899e-05,11.42504
-0.004400879,-6.179797e-05,11.56609
