voltage [V],current [A],time [s]
-0.002797484,-6.999873e-05,0.0
-0.002797246,-6.989794e-05,0.1410804
-0.002796739,-6.979861e-05,0.2821221
-0.00279659,-6.969931e-05,0.4231651
-0.002796412,-6.959823e-05,0.5641945
-0.002796113,-6.949896e-05,0.7052423
-0.002795637,-6.939785e-05,0.8462888
-0.00279516,-6.929869e-05,0.987342
-0.002794892,-6.919765e-05,1.128389
-0.002795309,-6.909849e-05,1.269457
-0.002794176,-6.899936e-05,1.4105
-0.002794117,-6.889846e-05,1.551541
-0.002793849,-6.879889e-05,1.692598
-0.002793878,-6.869779e-05,1.833648
-0.002792954,-6.859866e-05,1.974707
-0.00279206,-6.849939e-05,2.115766
-0.002792746,-6.839837e-05,2.256819
-0.002792269,-6.829918e-05,2.397892
-0.002791375,-6.819831e-05,2.538937
-0.002791822,-6.809898e-05,2.679988
-0.002790302,-6.799787e-05,2.821036
-0.00279054,-6.789854e-05,2.962096
-0.002790719,-6.779941e-05,3.103141
-0.002789855,-6.769833e-05,3.244173
-0.002789766,-6.759932e-05,3.385224
-0.002789199,-6.749821e-05,3.526272
-0.002788991,-6.739885e-05,3.66732
-0.002788544,-6.729961e-05,3.808373
-0.002787888,-6.719868e-05,3.949436
-0.002788693,-6.709926e-05,4.090483
-0.002787232,-6.699815e-05,4.231523
-0.002787173,-6.689914e-05,4.372571
-0.002786756,-6.679818e-05,4.513594
-0.002786785,-6.669882e-05,4.654631
-0.002786666,-6.65994e-05,4.795668
-0.002786219,-6.649861e-05,4.936739
-0.002785861,-6.639931e-05,5.077796
-0.002785385,-6.629821e-05,5.218845
-0.002785534,-6.619896e-05,5.359899
-0.002784818,-6.609815e-05,5.500961
-0.002784431,-6.59987e-05,5.642005
-0.002784401,-6.58994e-05,5.783058
-0.00278458,-6.579835e-05,5.924114
-0.002783597,-6.569899e-05,6.065159
-0.002783,-6.559811e-05,6.206218
-0.002783149,-6.549901e-05,6.347274
-0.002782851,-6.539954e-05,6.488339
-0.002782226,-6.529849e-05,6.629395
-0.002782375,-6.519933e-05,6.770446
-0.002781987,-6.509834e-05,6.911498
-0.002781749,-6.499913e-05,7.052559
-0.002781302,-6.489796e-05,7.193588
-0.002781302,-6.47991e-05,7.334635
-0.002780378,-6.469965e-05,7.475676
-0.002780139,-6.459877e-05,7.616729
-0.002780139,-6.449898e-05,7.757782
-0.002779484,-6.439799e-05,7.898831
-0.002779305,-6.429877e-05,8.039883
-0.002779186,-6.419953e-05,8.180944
-0.002779096,-6.409863e-05,8.321997
-0.002778828,-6.399918e-05,8.463056
-0.002777874,-6.389833e-05,8.60411
-0.002777874,-6.379903e-05,8.745146
-0.002777636,-6.369804e-05,8.886188
-0.002777517,-6.359871e-05,9.027232
-0.002777398,-6.349961e-05,9.168285
-0.002776712,-6.339861e-05,9.309333
-0.002776057,-6.329935e-05,9.450397
