voltage,current,time
4.559755e-06,8.032657e-09,0.0
3.316998e-05,-5.424954e-08,0.5421385
4.887581e-06,-7.791677e-07,1.084258
3.20971e-05,1.162407e-06,1.626391
3.090501e-05,1.146807e-06,2.16851
3.132224e-05,-3.316673e-07,2.710636
3.036857e-05,-5.611219e-07,3.252749
6.136298e-05,-5.27245e-07,3.794847
5.754828e-05,-6.761402e-07,4.33695
5.862117e-05,-5.603069e-07,4.87908
5.912781e-05,8.213101e-07,5.421216
5.879998e-05,1.489068e-06,5.963348
8.654594e-05,4.161848e-07,6.50547
5.790591e-05,6.89528e-07,7.047586
5.984306e-05,3.996538e-07,7.589701
8.460879e-05,1.205946e-06,8.131826
0.0001125038,5.238689e-07,8.67395
8.526444e-05,1.089415e-06,9.216058
8.934736e-05,1.019216e-06,9.758184
0.0001138747,8.896459e-07,10.30029
0.0001143217,8.026836e-07,10.84243
0.0001151264,6.328337e-07,11.38455
0.0001148283,7.484341e-07,11.92667
0.0001184046,6.997725e-07,12.46879
0.0001157224,8.662464e-07,13.0109
0.0001451373,8.505303e-07,13.55303
0.0001149774,8.416828e-07,14.09514
0.0001501739,7.710187e-07,14.63724
0.0001501143,7.30739e-07,15.17938
0.0001470149,7.34115e-07,15.7215
0.0001524687,6.601913e-07,16.26363
0.0001499951,6.651971e-07,16.80575
0.0001504719,8.281786e-07,17.34786
0.0001532435,8.179341e-07,17.88999
0.0001840591,7.440103e-07,18.43213
0.0001850426,7.433118e-07,18.97425
0.000185281,7.461058e-07,19.51638
0.0001865923,6.727641e-07,20.0585
0.0001870692,7.626368e-07,20.60061
0.000216186,6.548362e-07,21.14274
0.0001890659,8.589122e-07,21.68486
0.0002169609,7.880153e-07,22.227
0.0002220869,7.521594e-07,22.76912
0.0002369583,7.5961e-07,23.31122
0.0002416968,7.29342e-07,23.85337
0.0002243221,8.087372e-07,24.39549
0.0002244711,8.441275e-07,24.9376
0.0002416968,8.104835e-07,25.47973
0.0002563,6.889459e-07,26.02184
0.0002609193,7.591443e-07,26.56396
0.0002615154,7.484341e-07,27.10608
0.000262171,7.072231e-07,27.6482
0.0002642572,7.866183e-07,28.1903
0.0002989471,7.317867e-07,28.73242
0.0002604127,8.183997e-07,29.27454
0.0002676845,8.295756e-07,29.81666
0.0002682805,7.819617e-07,30.35877
0.0003043413,6.60657e-07,30.9009
0.0003056526,6.920891e-07,31.44303
0.0003074706,7.241033e-07,31.98515
0.0003088713,7.294584e-07,32.52726
0.0003110468,7.18399e-07,33.06938
0.0003078282,7.892959e-07,33.61151
0.0003112555,8.136267e-07,34.15361
0.0003415644,6.766059e-07,34.69572
0.0003359616,7.330673e-07,35.23782
0.0003553927,6.424962e-07,35.77996
0.0003286898,6.689224e-07,36.32209
0.0003535151,7.866183e-07,36.8642
0.0003569722,7.391209e-07,37.40631
0.0003617406,7.216586e-07,37.94843
0.0003548861,7.427298e-07,38.49056
0.0003708005,7.628696e-07,39.03269
0.0003744066,6.583286e-07,39.57481
0.0003764033,6.5926e-07,40.1169
0.0003649592,8.09785e-07,40.65902
0.0004042387,6.699702e-07,41.20114
0.0003857315,8.011702e-07,41.74327
0.0003968775,7.833587e-07,42.28538
0.0004102588,7.755589e-07,42.82751
0.0004031956,7.036142e-07,43.36962
0.0004051924,7.08038e-07,43.91173
0.0004231334,7.381896e-07,44.45385
0.0004219413,7.149065e-07,44.99598
0.0004345179,6.802147e-07,45.53809
0.0004271865,7.721828e-07,46.08018
0.000418961,8.146744e-07,46.62229
0.0004608929,6.483169e-07,47.16443
0.000426501,8.090865e-07,47.70655
0.0004533231,7.881317e-07,48.24867
