voltage [V],current [A],time [s]
-0.003905743,-3.999953e-05,0.0
-0.003895104,-3.990013e-05,0.1410702
-0.003884822,-3.979936e-05,0.2821139
-0.003874421,-3.970007e-05,0.4231768
-0.003864914,-3.959912e-05,0.564216
-0.003854215,-3.949979e-05,0.7052698
-0.003844172,-3.939864e-05,0.8463162
-0.003833562,-3.929953e-05,0.9873662
-0.003823936,-3.92002e-05,1.128428
-0.00381282,-3.909918e-05,1.26947
-0.003802747,-3.899992e-05,1.410547
-0.003792167,-3.88991e-05,1.551561
-0.003782034,-3.879983e-05,1.692598
-0.003771812,-3.870022e-05,1.83365
-0.003761888,-3.859929e-05,1.974717
-0.003751636,-3.850005e-05,2.115737
-0.003740191,-3.839906e-05,2.256777
-0.003730297,-3.829987e-05,2.397839
-0.003719062,-3.819879e-05,2.538886
-0.003708422,-3.809974e-05,2.679932
-0.00369817,-3.800036e-05,2.820976
-0.00368762,-3.789937e-05,2.962041
-0.003676742,-3.779992e-05,3.103085
-0.003666192,-3.769892e-05,3.244134
-0.003656298,-3.759976e-05,3.385178
-0.003645778,-3.749879e-05,3.52622
-0.003634661,-3.739959e-05,3.66725
-0.003623933,-3.730012e-05,3.8083
-0.003613234,-3.719934e-05,3.94935
-0.003602833,-3.709996e-05,4.090419
-0.003592044,-3.699868e-05,4.231468
-0.00358057,-3.689935e-05,4.372507
-0.00357008,-3.680025e-05,4.51355
-0.003558755,-3.669923e-05,4.654607
-0.00354746,-3.659989e-05,4.795645
-0.00353691,-3.649894e-05,4.936688
-0.003525913,-3.639954e-05,5.077749
-0.003514558,-3.629872e-05,5.21881
-0.003503919,-3.619943e-05,5.359846
-0.003492504,-3.610007e-05,5.500895
-0.003481597,-3.599911e-05,5.64196
-0.003469706,-3.589992e-05,5.783
-0.003458977,-3.579893e-05,5.924041
-0.003447473,-3.569968e-05,6.065083
-0.003435582,-3.56003e-05,6.206142
-0.003424227,-3.549947e-05,6.347182
-0.003412485,-3.540017e-05,6.488224
-0.003400832,-3.52991e-05,6.62926
-0.003388375,-3.519964e-05,6.770319
-0.00337702,-3.509862e-05,6.911371
-0.003364414,-3.499944e-05,7.052408
-0.003352523,-3.490012e-05,7.193446
-0.003339708,-3.479919e-05,7.33451
-0.00332728,-3.469986e-05,7.475562
-0.003314734,-3.45991e-05,7.616608
-0.003301531,-3.44997e-05,7.757658
-0.00328815,-3.439873e-05,7.898718
-0.00327462,-3.429927e-05,8.039763
-0.00326106,-3.420017e-05,8.180823
-0.00324595,-3.409915e-05,8.321884
-0.003232032,-3.399992e-05,8.462929
-0.003216535,-3.389893e-05,8.60398
-0.003201008,-3.379956e-05,8.745023
-0.003184766,-3.370036e-05,8.886076
-0.003165752,-3.359938e-05,9.027118
-0.003146589,-3.350005e-05,9.168154
-0.003123105,-3.339906e-05,9.309196
-0.003093809,-3.329989e-05,9.450242
-0.002811581,-3.319893e-05,9.591288
-0.002810061,-3.309963e-05,9.732349
-0.002809614,-3.300022e-05,9.873405
-0.002808988,-3.289942e-05,10.01445
-0.002807677,-3.280013e-05,10.15548
-0.002807051,-3.269914e-05,10.29654
-0.002805918,-3.259981e-05,10.43758
-0.002805203,-3.249901e-05,10.57862
-0.002804637,-3.239962e-05,10.71966
-0.002803475,-3.230029e-05,10.86071
-0.002803087,-3.219931e-05,11.00177
-0.002802104,-3.210001e-05,11.14281
-0.002800822,-3.199917e-05,11.28388
-0.002800494,-3.189985e-05,11.42494
-0.002799779,-3.18004e-05,11.56598
-0.002798676,-3.169935e-05,11.70702
-0.00279811,-3.160015e-05,11.84808
-0.002797455,-3.149913e-05,11.98915
-0.002796352,-3.139996e-05,12.13019
-0.002795875,-3.129893e-05,12.27124
-0.002794713,-3.119983e-05,12.41231
-0.002794445,-3.11005e-05,12.55336
-0.002793729,-3.099946e-05,12.6944
-0.002793491,-3.090002e-05,12.83545
-0.002792448,-3.079906e-05,12.97649
