voltage [V],current [A],time [s]
-0.005001396,-6.999867e-05,0.0
-0.004993677,-6.989785e-05,0.1410736
-0.00498724,-6.979852e-05,0.2821208
-0.004980713,-6.969922e-05,0.4231655
-0.004974067,-6.959814e-05,0.5642358
-0.004967511,-6.949881e-05,0.705292
-0.004960418,-6.939776e-05,0.8463387
-0.004953325,-6.929858e-05,0.9873832
-0.004947037,-6.919756e-05,1.128432
-0.004939884,-6.909837e-05,1.269484
-0.00493294,-6.899924e-05,1.410535
-0.004926562,-6.889837e-05,1.551574
-0.004919648,-6.879878e-05,1.692628
-0.004912943,-6.86977e-05,1.833693
-0.00490585,-6.859857e-05,1.974752
-0.004899621,-6.84993e-05,2.115798
-0.004892379,-6.839822e-05,2.256853
-0.004885942,-6.829909e-05,2.397907
-0.004878759,-6.819822e-05,2.538972
-0.004872411,-6.809886e-05,2.680009
-0.004865587,-6.799775e-05,2.821046
-0.004858911,-6.789842e-05,2.962103
-0.004852265,-6.779932e-05,3.103152
-0.004845142,-6.769819e-05,3.24419
-0.004838198,-6.759926e-05,3.385234
-0.004831612,-6.749813e-05,3.526296
-0.004824519,-6.739874e-05,3.66734
-0.004818112,-6.729949e-05,3.808388
-0.004811406,-6.719859e-05,3.949434
-0.00480485,-6.70992e-05,4.090488
-0.00479722,-6.699807e-05,4.231546
-0.004790634,-6.689905e-05,4.372589
-0.004784226,-6.679806e-05,4.513642
-0.004777014,-6.669876e-05,4.654702
-0.00477007,-6.659931e-05,4.795746
-0.004764467,-6.64985e-05,4.936803
-0.004755914,-6.63992e-05,5.077873
-0.004750699,-6.629815e-05,5.218937
-0.004743725,-6.619887e-05,5.360002
-0.004736483,-6.609806e-05,5.50105
-0.004729837,-6.599858e-05,5.642109
-0.004723251,-6.589931e-05,5.783154
-0.004716307,-6.579823e-05,5.924201
-0.004709244,-6.569896e-05,6.065254
-0.004702747,-6.559803e-05,6.206304
-0.004696071,-6.549896e-05,6.347343
-0.004689097,-6.539948e-05,6.488394
-0.004682451,-6.529843e-05,6.629453
-0.004675716,-6.519922e-05,6.770495
-0.004668832,-6.509823e-05,6.911529
-0.004661739,-6.499907e-05,7.052587
