voltage [V],current [A],time [s]
5.632639e-06,-3.999959e-05,0.0
6.526709e-06,-3.990014e-05,0.1410682
5.722046e-06,-3.979936e-05,0.2821288
6.049871e-06,-3.970003e-05,0.423182
5.573034e-06,-3.959914e-05,0.5642271
6.198883e-06,-3.949981e-05,0.7052803
5.543232e-06,-3.939868e-05,0.8463372
5.960464e-06,-3.929954e-05,0.98739
6.526709e-06,-3.920018e-05,1.128433
5.781651e-06,-3.909925e-05,1.269483
6.109476e-06,-3.899993e-05,1.410531
6.28829e-06,-3.889909e-05,1.551567
6.049871e-06,-3.879984e-05,1.69261
5.751848e-06,-3.870034e-05,1.833656
5.334616e-06,-3.859935e-05,1.974698
5.245209e-06,-3.850009e-05,2.11574
6.28829e-06,-3.839907e-05,2.256773
6.258488e-06,-3.829986e-05,2.397824
5.722046e-06,-3.819885e-05,2.538868
5.751848e-06,-3.809978e-05,2.679913
6.020069e-06,-3.800035e-05,2.820952
6.228685e-06,-3.789942e-05,2.962001
5.751848e-06,-3.779997e-05,3.103035
5.811453e-06,-3.769893e-05,3.244077
5.692244e-06,-3.759976e-05,3.385125
5.811453e-06,-3.74988e-05,3.526173
5.751848e-06,-3.739959e-05,3.667219
5.751848e-06,-3.730011e-05,3.808252
5.781651e-06,-3.719934e-05,3.949304
5.871058e-06,-3.709999e-05,4.090369
5.424023e-06,-3.69987e-05,4.231415
6.377697e-06,-3.689936e-05,4.372449
5.722046e-06,-3.680022e-05,4.513509
6.407499e-06,-3.669928e-05,4.654555
5.573034e-06,-3.659993e-05,4.795598
5.811453e-06,-3.649898e-05,4.936642
5.990267e-06,-3.639959e-05,5.077696
6.020069e-06,-3.629875e-05,5.21874
6.139278e-06,-3.619948e-05,5.359785
5.871058e-06,-3.610007e-05,5.500826
6.109476e-06,-3.599911e-05,5.641883
6.169081e-06,-3.589992e-05,5.782912
6.139278e-06,-3.579893e-05,5.923958
6.079674e-06,-3.56996e-05,6.065003
5.632639e-06,-3.56003e-05,6.206054
6.616116e-06,-3.54995e-05,6.347089
5.871058e-06,-3.540017e-05,6.488125
6.347895e-06,-3.529912e-05,6.629171
5.90086e-06,-3.519966e-05,6.770219
5.871058e-06,-3.509868e-05,6.91126
5.751848e-06,-3.499947e-05,7.0523
5.573034e-06,-3.490013e-05,7.193359
6.109476e-06,-3.479917e-05,7.334406
6.109476e-06,-3.469986e-05,7.475447
5.871058e-06,-3.459906e-05,7.616484
5.871058e-06,-3.449971e-05,7.757532
6.198883e-06,-3.439868e-05,7.898589
6.049871e-06,-3.42993e-05,8.039638
5.751848e-06,-3.420017e-05,8.180691
6.407499e-06,-3.409917e-05,8.321738
6.198883e-06,-3.399991e-05,8.462783
5.960464e-06,-3.389892e-05,8.603829
6.109476e-06,-3.379952e-05,8.744887
5.990267e-06,-3.37003e-05,8.885916
6.586313e-06,-3.359937e-05,9.026952
5.811453e-06,-3.350001e-05,9.167997
5.632639e-06,-3.3399e-05,9.309047
6.049871e-06,-3.329986e-05,9.450085
6.228685e-06,-3.319891e-05,9.591126
5.960464e-06,-3.309961e-05,9.732166
6.437302e-06,-3.300021e-05,9.87322
6.109476e-06,-3.289941e-05,10.01425
5.751848e-06,-3.28001e-05,10.1553
6.467104e-06,-3.269916e-05,10.29634
6.705523e-06,-3.259978e-05,10.43737
6.318092e-06,-3.249905e-05,10.5784
6.467104e-06,-3.239961e-05,10.71944
5.722046e-06,-3.230028e-05,10.86049
6.228685e-06,-3.219931e-05,11.00151
5.543232e-06,-3.209998e-05,11.14256
5.990267e-06,-3.199914e-05,11.2836
6.228685e-06,-3.189985e-05,11.42467
6.139278e-06,-3.180037e-05,11.5657
5.751848e-06,-3.169932e-05,11.70674
6.28829e-06,-3.160012e-05,11.8478
6.228685e-06,-3.149912e-05,11.98885
6.318092e-06,-3.13999e-05,12.12989
5.990267e-06,-3.129887e-05,12.27094
6.556511e-06,-3.11998e-05,12.41198
6.79493e-06,-3.110044e-05,12.55303
6.139278e-06,-3.099944e-05,12.69407
6.347895e-06,-3.09e-05,12.83512
6.556511e-06,-3.0799e-05,12.97617
5.960464e-06,-3.069983e-05,13.11721
6.467104e-06,-3.060055e-05,13.25825
5.871058e-06,-3.049956e-05,13.39929
6.467104e-06,-3.040025e-05,13.54034
6.228685e-06,-3.029936e-05,13.68138
6.109476e-06,-3.020006e-05,13.82242
6.228685e-06,-3.009876e-05,13.96346
6.556511e-06,-2.999943e-05,14.10451
5.871058e-06,-2.990029e-05,14.24554
5.960464e-06,-2.979932e-05,14.38659
6.139278e-06,-2.970002e-05,14.52763
5.960464e-06,-2.9599e-05,14.66869
6.198883e-06,-2.949963e-05,14.80972
6.67572e-06,-2.939883e-05,14.95076
6.318092e-06,-2.929952e-05,15.09181
6.198883e-06,-2.920016e-05,15.23284
6.228685e-06,-2.909916e-05,15.37388
6.139278e-06,-2.899999e-05,15.51492
6.377697e-06,-2.889895e-05,15.65596
6.198883e-06,-2.879968e-05,15.797
6.526709e-06,-2.870041e-05,15.93805
5.90086e-06,-2.859952e-05,16.0791
6.407499e-06,-2.850016e-05,16.22015
6.377697e-06,-2.839904e-05,16.36117
6.616116e-06,-2.829971e-05,16.50221
6.526709e-06,-2.81987e-05,16.64327
6.109476e-06,-2.80995e-05,16.78433
6.020069e-06,-2.800024e-05,16.92536
6.526709e-06,-2.789931e-05,17.0664
6.467104e-06,-2.779995e-05,17.20745
6.437302e-06,-2.769913e-05,17.34848
6.28829e-06,-2.75998e-05,17.48952
5.751848e-06,-2.750037e-05,17.63056
6.318092e-06,-2.739936e-05,17.77161
6.109476e-06,-2.730024e-05,17.91264
6.556511e-06,-2.719922e-05,18.05369
6.616116e-06,-2.709994e-05,18.19474
6.28829e-06,-2.699893e-05,18.33579
6.139278e-06,-2.689958e-05,18.47682
6.139278e-06,-2.680036e-05,18.61787
6.377697e-06,-2.669939e-05,18.75891
6.109476e-06,-2.66001e-05,18.89995
6.496906e-06,-2.649911e-05,19.04098
6.556511e-06,-2.639997e-05,19.18203
6.347895e-06,-2.629898e-05,19.32308
6.467104e-06,-2.619975e-05,19.46412
6.496906e-06,-2.610032e-05,19.60516
6.109476e-06,-2.599953e-05,19.74621
5.90086e-06,-2.590021e-05,19.88725
7.003546e-06,-2.579921e-05,20.0283
6.67572e-06,-2.569989e-05,20.16934
6.526709e-06,-2.560078e-05,20.31037
6.67572e-06,-2.549971e-05,20.45141
6.437302e-06,-2.540037e-05,20.59243
5.90086e-06,-2.529938e-05,20.73348
6.556511e-06,-2.520012e-05,20.87452
6.616116e-06,-2.509923e-05,21.01556
6.556511e-06,-2.499994e-05,21.1566
6.79493e-06,-2.490051e-05,21.29765
7.033348e-06,-2.479942e-05,21.43871
6.79493e-06,-2.470022e-05,21.57975
6.467104e-06,-2.459924e-05,21.72078
6.496906e-06,-2.450003e-05,21.86184
6.914139e-06,-2.440067e-05,22.00288
6.67572e-06,-2.429984e-05,22.14392
7.092953e-06,-2.420053e-05,22.28499
6.67572e-06,-2.409953e-05,22.42604
6.67572e-06,-2.400012e-05,22.56706
6.67572e-06,-2.389912e-05,22.7081
6.943941e-06,-2.379999e-05,22.84916
6.228685e-06,-2.370062e-05,22.99018
6.616116e-06,-2.359967e-05,23.13122
6.049871e-06,-2.350041e-05,23.27226
6.914139e-06,-2.339948e-05,23.41333
6.526709e-06,-2.33001e-05,23.55436
6.437302e-06,-2.319879e-05,23.6954
6.765127e-06,-2.309952e-05,23.83644
5.90086e-06,-2.300035e-05,23.9775
6.765127e-06,-2.289937e-05,24.11854
6.79493e-06,-2.280017e-05,24.25958
6.79493e-06,-2.269908e-05,24.40062
6.526709e-06,-2.259975e-05,24.54167
6.79493e-06,-2.250062e-05,24.68271
6.914139e-06,-2.239959e-05,24.82377
6.556511e-06,-2.230026e-05,24.96482
6.884336e-06,-2.219922e-05,25.1059
7.122755e-06,-2.210011e-05,25.24695
