voltage,current,time
5.573034e-06,1.376146e-06,0.0
4.827976e-06,1.944136e-07,0.5421355
3.674626e-05,1.815148e-06,1.084258
3.415346e-05,1.920853e-06,1.626396
3.266335e-05,1.146924e-06,2.168522
3.346801e-05,1.677079e-06,2.710626
3.364682e-05,2.674758e-06,3.252724
3.501773e-05,1.772656e-06,3.794855
6.628036e-05,2.123998e-06,4.336967
3.46005e-05,4.135538e-06,4.879079
6.783009e-05,3.989786e-06,5.421225
6.580353e-05,2.963934e-06,5.963343
6.529689e-05,4.415866e-06,6.50546
6.654859e-05,3.066147e-06,7.047589
9.23574e-05,3.933092e-06,7.58971
0.000102073,4.242291e-06,8.131843
6.356835e-05,4.451256e-06,8.673958
0.0001111031,3.623078e-06,9.216087
9.784102e-05,3.567315e-06,9.758214
0.0001232624,3.918889e-06,10.30034
0.0001216233,3.783731e-06,10.84246
9.667873e-05,3.701309e-06,11.38457
0.0001269877,3.659632e-06,11.92667
0.0001325607,3.928202e-06,12.46877
0.0001297593,3.803172e-06,13.01088
0.0001259446,3.435649e-06,13.55299
0.0001367331,3.935886e-06,14.0951
0.0001360178,3.280817e-06,14.63722
0.0001440942,3.100024e-06,15.17935
0.0001544356,3.167312e-06,15.72145
0.0001595616,3.096531e-06,16.26358
0.0001643896,2.599903e-06,16.80571
0.0001674891,2.515386e-06,17.34785
0.0001734495,2.590474e-06,17.88999
0.0001676381,2.964516e-06,18.43212
0.0001995265,2.474873e-06,18.97423
0.0001895428,2.521905e-06,19.51636
0.0001826286,2.714107e-06,20.05848
0.0001994073,1.300359e-06,20.60059
0.0002044439,1.317589e-06,21.14271
0.0002094805,1.332955e-06,21.6848
0.0002145767,1.351e-06,22.22691
0.0002194047,1.363922e-06,22.76903
0.0002244115,1.38313e-06,23.31116
0.0002293885,1.399894e-06,23.85329
0.0002344847,1.417822e-06,24.39541
0.0002397299,1.431094e-06,24.93753
0.0002444685,1.447625e-06,25.47964
0.0002496243,1.463923e-06,26.02176
0.0002546906,1.479057e-06,26.56388
0.0002594888,1.495471e-06,27.10599
0.0002646148,1.510722e-06,27.64811
0.0002692938,1.525157e-06,28.19022
0.0002744496,1.542503e-06,28.73234
0.000279665,1.559965e-06,29.27446
0.0002842247,1.575216e-06,29.81657
0.0002895892,1.59035e-06,30.35869
0.0002945364,1.607696e-06,30.90082
0.0002993941,1.618639e-06,31.44293
0.0003044605,1.638778e-06,31.98505
0.0003094673,1.65333e-06,32.52718
0.0003141165,1.666602e-06,33.0693
0.0003189147,1.681969e-06,33.61143
0.0003241897,1.696288e-06,34.15356
0.0003291667,1.71049e-06,34.69567
0.000333935,1.725624e-06,35.23781
0.0003389418,1.742388e-06,35.77993
0.0003442764,1.756009e-06,36.32206
0.0003489554,1.770095e-06,36.86414
0.0003540516,1.787324e-06,37.40626
0.00035882,1.800363e-06,37.94839
0.0003641844,1.817942e-06,38.49051
0.0003690124,1.833192e-06,39.03263
0.0003739595,1.846929e-06,39.57475
0.0003790855,1.863576e-06,40.11687
0.0003841519,1.879642e-06,40.65899
0.0003889203,1.893612e-06,41.20112
0.0003938675,1.907581e-06,41.74325
0.0003989935,1.920387e-06,42.28537
0.0004039109,1.933076e-06,42.82748
0.0004091859,1.94856e-06,43.36958
0.0004140139,1.963694e-06,43.91168
0.0004190207,1.976034e-06,44.45379
0.0004241765,1.992565e-06,44.99589
0.000429064,2.006767e-06,45.538
0.0004341602,2.023997e-06,46.08014
0.0004390776,2.036337e-06,46.62225
0.0004439056,2.050656e-06,47.16436
0.0004490912,2.067303e-06,47.70648
0.0004539192,2.07976e-06,48.2486
0.0004591346,2.097222e-06,48.79071
0.000464052,2.111308e-06,49.33282
0.0004689693,2.124929e-06,49.87493
0.0004740655,2.136338e-06,50.41704
0.0004789829,2.150191e-06,50.95917
0.0004838407,2.162647e-06,51.50129
0.0004892051,2.178364e-06,52.04341
0.0004940629,2.187327e-06,52.58553
0.0004990697,2.201647e-06,53.12764
0.0005041659,2.216781e-06,53.66974
0.0005084872,2.225162e-06,54.21186
0.0005136728,2.239365e-06,54.754
0.0005183518,2.253568e-06,55.29612
0.0005236268,2.265908e-06,55.83823
0.0005282164,2.279179e-06,56.38036
0.000533551,2.294546e-06,56.92249
0.0005386472,2.307817e-06,57.4646
0.0005435348,2.319692e-06,58.00671
0.0005485415,2.333894e-06,58.54884
0.0005534887,2.34996e-06,59.09094
0.0005582869,2.364395e-06,59.63305
0.0005634129,2.375222e-06,60.17516
0.0005685985,2.392335e-06,60.71726
0.0005731285,2.402463e-06,61.2594
0.0005786121,2.417597e-06,61.8015
0.0005835295,2.434361e-06,62.34362
0.0005886853,2.447283e-06,62.88574
0.0005936325,2.45776e-06,63.42786
0.00059852,2.470217e-06,63.96998
0.0006034672,2.483255e-06,64.5121
0.000608623,2.500252e-06,65.05422
0.0006134808,2.508983e-06,65.59634
0.0006185174,2.524001e-06,66.13847
0.0006233752,2.536341e-06,66.68058
0.0006284118,2.547516e-06,67.22271
0.0006336272,2.562301e-06,67.76485
0.0006383061,2.57045e-06,68.30696
0.0006435215,2.582325e-06,68.84909
0.0006484985,2.59513e-06,69.39122
0.0006533861,2.610846e-06,69.93333
0.0006586611,2.622604e-06,70.47545
0.0006635189,2.636225e-06,71.01756
0.0006683767,2.644956e-06,71.55969
0.0006735027,2.658227e-06,72.1018
0.0006783605,2.667541e-06,72.64392
0.0006833673,2.682908e-06,73.18604
0.0006887019,2.695946e-06,73.72817
0.000693202,2.70654e-06,74.27028
0.0006984472,2.717832e-06,74.81239
0.0007036328,2.728542e-06,75.35451
0.0007080138,2.739951e-06,75.89662
0.0007129014,2.748915e-06,76.43873
0.000718087,2.764049e-06,76.98086
0.0007231236,2.775574e-06,77.52298
0.0007279217,2.784072e-06,78.06511
