,name,chip_name,T,meas,type,L,W,A,V_g_pos,V_g_neg,V_g_mean,I_c_pos,I_c_neg,I_c_mean,j_c,I_r_pos,I_r_neg,I_r_mean,R_N,R_sg,R_sg_R_N,I_c_R_N
0,CH1_JJ20x20_curved_T4p37K_Isweep,AJ08,4.37,Isweep,short,20,20,400,0.002758692378019539,-0.0027457247206193747,0.002752208549319457,4.050029e-05,-4.040053e-05,4.045041e-05,10.112602500000001,2.898552e-06,-1.799868e-06,2.34921e-06,13.640764916831058,381.026695222832,27.932941997460205,0.0005517745335994322
1,CH5_JJ15x15_straight_T4p35K_Isweep,AJ08,4.35,Isweep,long,15,15,225,0.0027606625347839035,-0.0027465982044657233,0.0027536303696248134,2.010009e-05,-1.990052e-05,2.0000305e-05,8.889024444444443,1.198801e-06,-1.099703e-06,1.149252e-06,25.738931259966815,715.3338884191295,27.791903292104745,0.0005147864755733705
2,CH2_JJ7x7_curved_T4p27K_Isweep,AJ09,4.27,Isweep,short,7,7,49,0.0027698158222308287,-0.0027548961892322555,0.002762356005731542,6.299972e-06,-6.299877e-06,6.2999245e-06,12.856988775510205,5.999227e-07,-5.498932e-07,5.7490795e-07,106.36969828060776,637.4384107310841,5.992669162692317,0.0006701210682556087
3,CH1_JJ9x9_curved_T4p27K_Isweep,AJ09,4.27,Isweep,short,9,9,81,0.0027802892876202384,-0.002759829550275252,0.0027700594189477455,1.33357e-05,-1.393471e-05,1.3635205e-05,16.833586419753086,5.341572e-07,-5.340407e-07,5.3409895e-07,72.24248153073661,2166.691893613833,29.991936153134255,0.0009850410453803075
4,CH6_JJ9x9_straight_T4p27K_Isweep,AJ09,4.27,Isweep,long,9,9,81,0.0027764788286967538,-0.002764847166802082,0.002770662997749418,1.509915e-05,-1.449985e-05,1.47995e-05,18.270987654320987,4.987814e-07,-4.987523e-07,4.9876685e-07,73.69513614641447,2267.576399881018,30.7696887264838,0.0010906511673988608
5,CH4_JJ5x5_straight_T4p27K_Isweep,AJ09,4.27,Isweep,long,5,5,25,0.002773700402071203,-0.0027543551475395956,0.002764027774805399,2.825111e-06,-2.875044e-06,2.8500775e-06,11.400310000000001,1.748886e-07,-1.74854e-07,1.748713e-07,258.7709819436636,7884.918499715226,30.4706441212633,0.000737517353290542
6,CH5_JJ7x7_straight_T4p27K_Isweep,AJ09,4.27,Isweep,long,7,7,49,0.0027688273085205903,-0.002755468082266349,0.0027621476953934698,7.149972e-06,-6.999766e-06,7.074869e-06,14.438508163265308,3.00035e-07,-3.000114e-07,3.0002319999999997e-07,126.08915785206266,3896.288271444957,30.90105713939637,0.0008920642741236647
7,CH2_JJ7x7_straight_T4p35K_Isweep,AL08,4.35,Isweep,long,7,7,49,0.0027690557883385675,-0.002758981770016887,0.002764018779177727,7.2002e-06,-7.300056e-06,7.250128e-06,14.796179591836736,2.986053e-07,-2.983434e-07,2.9847435e-07,122.61297204811181,1607.9329918974347,13.113889705458748,0.0008889597418092328
8,CH1_JJ5x5_straight_T4p37K_Isweep,AL08,4.37,Isweep,long,5,5,25,0.002774949656575202,-0.002767630977644988,0.002771290317110095,3.85004e-06,-3.849862e-06,3.849951e-06,15.399804,1.498793e-07,-1.498447e-07,1.49862e-07,267.54969834487184,7426.954014055667,27.759156747328177,0.0010300532286925375
9,CH3_JJ9x9_straight_T4p35K_Isweep,AL08,4.35,Isweep,long,9,9,81,0.002769366932615377,-0.002757711960893328,0.0027635394467543524,1.109933e-05,-1.140006e-05,1.1249695e-05,13.888512345679013,4.988833e-07,-4.987669e-07,4.988251e-07,70.96636957672523,850.2942307722087,11.981650404885286,0.0007983500129954379
10,CH1_JJ5x5_straight_T4p47K_IsweepTemp,AL08,4.47,IsweepTemp,long,5,5,25,0.0027634797950583834,-0.002749045150040383,0.002756262472549383,3.799083e-06,-3.799243e-06,3.799163e-06,15.196652,1.00059e-07,-9.986979e-08,9.9964395e-08,267.56188031867487,7032.33082975916,26.28300721083073,0.0010165111959171379
11,CH1_JJ5x5_straight_T4p42K_IsweepTemp,AL08,4.42,IsweepTemp,long,5,5,25,0.0027667818307946382,-0.002753598717565965,0.0027601902741803018,3.799069e-06,-3.799272e-06,3.7991705e-06,15.196682000000001,1.000299e-07,-9.98989e-08,9.99644e-08,267.5597782771176,7135.697520780848,26.669544902187237,0.001016505216616966
12,CH1_JJ5x5_straight_T4p40K_IsweepTemp,AL08,4.4,IsweepTemp,long,5,5,25,0.002767810262977947,-0.0027575871738666374,0.002762698718422292,3.799069e-06,-3.799272e-06,3.7991705e-06,15.196682000000001,1.000735e-07,-9.986979e-08,9.9971645e-08,267.5349880248204,7197.798110006029,26.904137522895724,0.001016411034221751
13,CH1_JJ5x5_straight_T4p37K_IsweepTemp,AL08,4.37,IsweepTemp,long,5,5,25,0.0027719843561989257,-0.0027582639682632902,0.0027651241622311078,3.799054e-06,-3.499692e-06,3.649373e-06,14.597492,1.000881e-07,-9.985524e-08,9.997167e-08,267.54969834487184,7252.311692857886,27.106409529603162,0.00097638864529792
